job_title,company_name,location,date_posted,applicant_count,job_description_lines,country,job,experience
data engineer / machine learning engineer,streamba,glasgow scotland united kingdom,1 month ago,7.0,"
              as a data engineer / machine learning engineer you will be responsible for developing our intelligence technology to help our customers remove harmful emissions and inefficiency from global operations. working closely with our world class engineering team your skills will be put to the test within challenging environments. our data and machine learning engineers leverage the latest in cloud ml technologies from azure & gcp to bring valuable insight and innovation to heavy industry. we are particularly proud of our work in recognising cargo through deep learning technologies and we have a lot more interesting challenges to push your way.

this role involves working closely with some of the worlds largest energy and mineral companies so working at scale and at pace should be expected as well as being unafraid of large data sets and putting the technical horsepower of azure to the test.
no recruitment companies please***

we do not expect anyone to meet every expectation below so please use the following as a guide only if you learn fast and have a strong foundational skill set and experience we’d like to hear from you.

what you can offer
experience integrating data from clients third-party apis and our production systemsdata modelling and preparation for training predictions and analyticsdeveloping algorithms to optimise tasks in the heavy industry supply chain industryknowledge of python  c# is a plusexperience with gcp azure or any other cloud services is a plusable to demonstrate good communication skills external and internally.ability to perform ad-hoc data analysis.willing to help build great products in a lean agile environment.an excellent analytical critical thinking mind with a passion for modern methodologies and technologykaizen – proactive continuous learning and improvementpositivity and a friendly approachable manner – you can communicate your ideas soundly and help others put across theirsconfidence – you’re not always right and you’re willing to take a risk at being wrongthe ability to identify risks challenges and potential pain points within our engineering processes and suggest alternativesa genuine belief in building great software for our customers and improving heavy industry

streamba can offer you
genuine autonomy trust and a chance to make a measurable difference within a rapidly growing companya significant but highly rewarding challenge. there’s no time for boredom here and every day we’re learning new skillsfreedom and the resources required to implement your visionthe opportunity to work with smart focused engineers and the investment in your skillset to ensure each of us pushes one another towards excellencean opportunity that doesn’t come along too often – to be part of an early growing technology companycompetitive salary & benefits

what do you need to apply?
a passion for learning coupled with an insatiable curiosityself-managing both in motivation and learninga computer science/engineering/maths/physics degree or similar is preferred but if you’re exceptional at what you do and can show us then this is optional.

perks and benefits
pension planperformance bonusremote workingflexible working - at streamba we take a flexible approach to working. work comes second to life-events and we encourage employees to take time when they need it.maternity/paternity leavesick payannual leave - we have a minimum 33 days annual leave that employees are actively encouraged to take
 ",uk,scientist,
data analyst support scientist – remote genomic & bioinformatics exp.,hireresources,santa ana ca,3 days ago,5.0,"
one of our valued clients a leading and growing biotechnology company is seeking a self-motivated and well-organized data analyst to aid support and assist scientists. the data analysis support specialist serves as the first line of customer contact on genomic data analysis-related technical inquiries and problems as well as directly interacts with internal development teams to drive product improvement.

our clients revolutionary genome mapping platform empowers researchers to gain a more complete picture of genome biology including structural variation that current technologies fail to detect. 

apply now to this amazing and unique opportunity!

position: data analyst support scientist – remote genomic data analysis

location: southern california - remote role home office occasional travel to office.

salary: commensurate with experience.
you will quickly develop a deep understanding of our optical genome mapping system our customers and their genomic applications.you will help our customers analyze their genomic structural variation in their samplesyou will utilize the knowledge to assist our users with their bioinformatic needs and ensure their happiness with our products.
primary duties and responsibilities
you will answer evaluate and triage incoming email and phone requests from customers related to their bioinformatics and networking needs.you will document customer inquiries and problems accurately and timely using salesforce.com.you will manage problem recognition evaluation and resolution for genomic data analysis-related products in the field.you will provide product improvement feedback to development teams.you will create materials such as documents or webinars to serve customers.
education and experience requirements
must have an advanced degree ms or ph.d. with a minimum of 2 years of relevant experience in bioinformatics or related field.must have 1 to 3 years of experience in a direct customer support role with remote support and customer training experience in the biological sciencespractical experience or in-depth knowledge of sequencing and genomics methods.practical experience with data or bioinformatics and or molecular biology data analysis experience.familiar with crm customer relationship management products such as salesforce.com.familiarity with perl python r bash or javascript in a linux environment.practical experience in networking and administration of linux servers.excellent analytical problem-solving and interpersonal skills.understanding of dna translocations inversions or indels in genomic or bioinformatic analysis.outstanding written and verbal communication skills.customer-focused and team-player mindset.
hireresources recruiters are not generalists; they are specialists in their industries providing quick access to industry top talent in select industry sectors. we speak your language and understand the factors critical to your business. each hireresources sector team has a specialized target recruitment function. in fact if we do not have expertise in your industry we will let you know this upfront.

hireresources was established in 2002 in 2015 we began a growth phase by restructuring our core business today hireresources is a fast-growing staffing & recruitment platform headquartered in connecticut. hireresources is an open source staffing and recruiting model giving flexibility and support to top executive recruiters across the country. hireresources recruiters are thoroughly vetted and are proven professionals in the recruiting industry.
 ",usa,scientist,2.0
data scientist remote,yelp,glasgow scotland united kingdom,4 days ago,116.0,"
              at yelp it’s our mission to connect people with great local businesses. yelp’s unique dataset contains billions of interactions between users and businesses around the globe from a review of a coffee shop to requesting a repair quote with a photo of a leaky faucet. data scientists at yelp work to make sense of these interactions to deliver impactful analyses and products to our users business partners and the general public.

the data science & analytics team performs analyses builds models and designs experiments that directly impact yelp’s products and users. we are adept at tasks like modeling user preferences inference from user and marketplace experiments and generating insights about the health of local economies. with diverse backgrounds and expertise we strive for learning and growth in a collaborative environment.

this remote opportunity requires you to be located in the united kingdom.

we’d love to have you apply even if you don’t feel you meet every single requirement in this posting. at yelp we’re looking for great people not just those who simply check off all the boxes.

where you come in
join a team of data scientists and data science analysts that develop analytical frameworks and reliable measurement strategies for yelp products.design execute and analyze complex business and user experiments.partner with other data scientists and data engineers to set the vision for and develop our experimentation platform. devise and evaluate models for diverse business needs such as identifying growth opportunities estimating the impact of new features on our platforms and personalizing the user experience.proactively research and build etl pipelines for product and marketplace metricscommunicate key insights from analyses experiments and data products to stakeholders.
what it takes to succeed
ms/phd in quantitative field and a few years of industry experience in a senior quantitative role.ability to apply statistical analytical and technical expertise to product and business problems.prior experience structuring and leading impactful data science projects independently.oral and written communication skills to mentor colleagues and work effectively with partners on engineering product and business teams.expertise in sql and r or python for data analysis and platform development.enthusiasm for building a culture of learning and development.
what youll get
full responsibility for projects from day one a collaborative team and a dynamic work environment.competitive salary with equity in the company a pension scheme and an optional employee stock purchase plan.25 days paid holiday rising to 29 with service plus one floating holiday.£150 monthly reimbursement to help cover remote working expenses.£75 caregiver reimbursement to support dependent care for families.private health insurance including dental and vision.flexible working hours and meeting-free wednesdays.regular 3-day hackathons bi-weekly learning groups and productivity spending to support and encourage your career growth. opportunities to participate in digital events and conferences.£56 per month to use toward qualifying wellness expenses.quarterly team offsites.
yelp values diversity. we’re proud to be an equal opportunity employer and consider qualified applicants without regard to race color religion sex national origin ancestry age genetic information sexual orientation gender identity marital or family status veteran status medical condition disability or any other protected status.

note: yelp does not accept agency resumes. please do not forward resumes to any recruiting alias or employee. yelp is not responsible for any fees related to unsolicited resumes.
 ",uk,scientist,2.0
data scientist - growth,spotify,london england united kingdom,2 weeks ago,,"
              the freemium r&d team oversees the entire user journey on spotify and ensures we engage with people in innovative ways every step of the way. our team grows spotify’s audience by finding future listeners around the world and delivering the right value to them at the right time. with research product development product design engineering and marketing all collaborating in one organization we’re able to quickly create meaningful features and services for millions of people around the world resulting in joyful long-lasting relationships with spotify.

were looking for a data scientist to join our product insights team to support strategic decision-making for user growth in all emerging markets around the world.

what youll do
work closely with data scientists user researchers product managers designers and engineersestablish learning agendas measurement plans and success metrics in close coordination with contributing teams and partnersanalyze large quantities of data to extract impactful insights to help inform senior leadership and drive strategic product and business decisionsdesign and facilitate experimentation both on and off platformcommunicate insights and recommendations through clear visualizations and presentations

who you are
have at least 3+ years of experience in a similar data scientist role and a degree in science computer science statistics economics mathematics or similar quantitative fieldpossess the technical competence to perform analytics on very large datasets including coding skills such as python or r and databases such as sql. statistical competence such as regression modeling a/b testing significance testing etc.familiar with qualitative research methods utilizing data from interviews surveys and co-creation activities to synthesize with quantitative dataable to deliver on loosely defined problems to assess research questions and come up with relevant answers and actionable insights to guide decisionsyou are a communicative person that values building strong relationships with colleagues and partners and have the ability to explain complex topics in simple terms

where youll be
we are a distributed workforce enabling our band members to find a work mode that is best for them!where in the world? for this role it can be within the emea region in which we have a work locationprefer an office to work from home instead? not a problem! we have plenty of options for your working preferences. find more information about our work from anywhere options here.working hours? we operate within the central european time zone for collaborationwe ask that our team members be located within greenwich mean time zone central european time zone or eastern european standard time zone for the purposes of our collaboration hours 

spotify is an equal opportunity employer. you are welcome at spotify for who you are no matter where you come from what you look like or what’s playing in your headphones. our platform is for everyone and so is our workplace. the more voices we have represented and amplified in our business the more we will all thrive contribute and be forward-thinking! so bring us your personal experience your perspectives and your background. it’s in our differences that we will find the power to keep revolutionizing the way the world listens.

spotify transformed music listening forever when we launched in 2008. our mission is to unlock the potential of human creativity by giving a million creative artists the opportunity to live off their art and billions of fans the chance to enjoy and be passionate about these creators. everything we do is driven by our love for music and podcasting. today we are the world’s most popular audio streaming subscription service.

global covid and vaccination disclosure

spotify is committed to safety and well-being of our employees vendors and clients. we are following regional guidelines mandating vaccination and testing requirements including those requiring vaccinations and testing for in-person roles and event attendance. for the us we have mandated that all employees and contractors be fully vaccinated in order to work in our offices and externally with any third-parties. for all other locations we strongly encourage our employees to get vaccinated and also follow local covid and safety protocols.

 ",uk,scientist,3.0
data scientist - growth strategy,spotify,london england united kingdom,2 weeks ago,,"
              are you a talented data scientist who is eager to dig into the data here at spotify derive insights and help us perfect our strategy for our future global growth?

we are looking for a data scientist to join the growth & business intelligence team within the freemium business unit. in the role you will work along a team of data scientists analysts and strategists to analyse on-platform data external data sources and new consumer / user research to identify insights that leadership will use to craft and optimize spotify’s user growth strategy. your analysis will help determine how we invest to grow our subscribers and monthly active users over the long term in many markets around the world.

what youll do
perform analyses on large global sets of data to extract impactful insights that will help our team and senior leadership understand the state of our user growth around the world and craft growth strategies to help us grow beyond 400 million userspartner closely with other teams to identify and assess fundamental performance drivers that underpin spotify’s user growthcommunicate insights and recommendations through clear visualizations and presentations appropriately designed for executive level audiencesbe an advocate for data-informed decision making making recommendations about the impacts of our various user growth efforts around the worldwork as part of a team located largely across stockholm london and new york

who you are
you are highly passionate about the future of technology entertainment and digital media you have an informed point of view on where the industry is headed and you want to play a role in shaping that future at one of the few globally scaled pure-play digital media and technology companiesyour past work experiences have provided you with a deep understanding of numbers a strong business sense for business performance drivers and the skill to craft compelling and clear narratives using those data and insightsthe skills to tackle very loosely defined challenges working both independently and as part of a cross functional analytics and strategy teamcomfort analyzing large datasets with statistical rigor using tools such as sql python r sas stata or other programming languagesa bias toward delivering actionable insights quickly rather than constructing the most technically complex modelyou have at least 3+ years of experience in a similar data science or analytics role ideally in a consumer-facing company or a technology company

where youll be
we are a distributed workforce enabling our band members to find a work mode that is best for them!where in the world? for this role it can be within the emea region in which we have a work locationprefer an office to work from home instead? not a problem! we have plenty of options for your working preferences. find more information about our work from anywhere options here.working hours? we operate within the central european time zone for collaborationwe ask that our team members be located within greenwich mean time zone central european time zone or eastern european standard time zone for the purposes of our collaboration hours

spotify is an equal opportunity employer. you are welcome at spotify for who you are no matter where you come from what you look like or what’s playing in your headphones. our platform is for everyone and so is our workplace. the more voices we have represented and amplified in our business the more we will all thrive contribute and be forward-thinking! so bring us your personal experience your perspectives and your background. it’s in our differences that we will find the power to keep revolutionizing the way the world listens.

spotify transformed music listening forever when we launched in 2008. our mission is to unlock the potential of human creativity by giving a million creative artists the opportunity to live off their art and billions of fans the chance to enjoy and be passionate about these creators. everything we do is driven by our love for music and podcasting. today we are the world’s most popular audio streaming subscription service.

global covid and vaccination disclosure

spotify is committed to safety and well-being of our employees vendors and clients. we are following regional guidelines mandating vaccination and testing requirements including those requiring vaccinations and testing for in-person roles and event attendance. for the us we have mandated that all employees and contractors be fully vaccinated in order to work in our offices and externally with any third-parties. for all other locations we strongly encourage our employees to get vaccinated and also follow local covid and safety protocols.

 ",uk,scientist,3.0
data scientist natural language processing,frontiers,northern ireland united kingdom,1 week ago,40.0,"
we are on a mission to make science open so everyone can live healthy lives on a healthy planet

who we are

frontiers is an award-winning open science platform and leading open access scholarly publisher.

we are one of the largest and most cited publishers globally. to date our 200000 freely available research articles have received more than 1 billion views and downloads and 2 million citations. our journals span science health humanities and social sciences engineering and sustainability. and we continue to expand into new academic disciplines so more researchers can publish open access.

be part of the publishing revolution and help us transform the way research is published evaluated and communicated to the world.

job role

we are looking for a data scientist natural language processing who can work on production-ready artificial intelligence ai to support our industry-leading ai publishing platform.

you will work in a department of data scientists and machine learning engineers to develop cutting edge solutions with a focus on natural language processing nlp to help us evolve our state-of-the-art ai review assistant aira.

key responsibilities
development optimization and evaluation of ml models and algorithmstechnological review of data science solutions and communication to non-technical stakeholdersproactive identification of opportunities for potential ai products within frontierseffective collaboration with product managers ml engineers software and data engineers to design scalable state of the art ml models

requirements
proficiency in pythonexperience with sql and big data platforms e.g. spark azure databrickscandidates are encouraged to share portfolio of nlp projects

familiarity with:
text pre-processing e.g. lemmatization stemming stopwords normalizationword and document embeddingslanguage models bert and other transformer modelsexperience with k-means algorithmsdimensionality reduction techniques and bayesian techniquesnlp packages spacy allennlp huggingface transformers nltk

benefits

with more than 50 nationalities represented in our global team you will work regularly with teammates in other countries and with our community of researchers editors and authors from around the globe.

our mission to create solutions for healthy lives also extends to the working environment we provide for our employees.

this includes:

100% remote working

employees now have the flexibility to choose where they want to work with remote working available on a part- or full-time basis not applicable to some business support jobs due to nature of role.

learning and development

all employees have access to linkedin learning and pluralsight for our technology team an annual personal learning budget and dedicated l&d time.

wellbeing

we offer free online yoga classes an employee assistance plan access to the headspace app and four wellbeing days on top of your annual leave allowance.

volunteering opportunities

employees can dedicate three days each year to volunteer for a personal cause or through our volunteering partner platform alaya.

frontiers actively embraces diversity and is a safe and welcoming workplace. recruitment is free from discrimination – including based on race national or ethnic origin age religion disability sex gender identity or sexual orientation. with over 600 employees from more than 50 different nations our diversity creates vibrant teams and constantly challenges us to appreciate multiple perspectives.
 ",uk,scientist,
data scientist,yelp,london england united kingdom,4 days ago,169.0,"
              at yelp it’s our mission to connect people with great local businesses. yelp’s unique dataset contains billions of interactions between users and businesses around the globe from a review of a coffee shop to requesting a repair quote with a photo of a leaky faucet. data scientists at yelp work to make sense of these interactions to deliver impactful analyses and products to our users business partners and the general public.

the data science & analytics team performs analyses builds models and designs experiments that directly impact yelp’s products and users. we are adept at tasks like modeling user preferences inference from user and marketplace experiments and generating insights about the health of local economies. with diverse backgrounds and expertise we strive for learning and growth in a collaborative environment.

this opportunity requires you to be located in the united kingdom.

we’d love to have you apply even if you don’t feel you meet every single requirement in this posting. at yelp we’re looking for great people not just those who simply check off all the boxes.

where you come in
join a team of data scientists and data science analysts that develop analytical frameworks and reliable measurement strategies for yelp products.design execute and analyze complex business and user experiments.partner with other data scientists and data engineers to set the vision for and develop our experimentation platform. devise and evaluate models for diverse business needs such as identifying growth opportunities estimating the impact of new features on our platforms and personalizing the user experience.proactively research and build etl pipelines for product and marketplace metricscommunicate key insights from analyses experiments and data products to stakeholders.
what it takes to succeed
ms/phd in quantitative field and a few years of industry experience in a senior quantitative role.ability to apply statistical analytical and technical expertise to product and business problems.prior experience structuring and leading impactful data science projects independently.oral and written communication skills to mentor colleagues and work effectively with partners on engineering product and business teams.expertise in sql and r or python for data analysis and platform development.enthusiasm for building a culture of learning and development.
what youll get
full responsibility for projects from day one a collaborative team and a dynamic work environment.competitive salary with equity in the company a pension scheme and an optional employee stock purchase plan.25 days paid holiday rising to 29 with service plus one floating holiday.£150 monthly reimbursement to help cover remote working expenses.£75 caregiver reimbursement to support dependent care for families.private health insurance including dental and vision.flexible working hours and meeting-free wednesdays.regular 3-day hackathons bi-weekly learning groups and productivity spending to support and encourage your career growth. opportunities to participate in digital events and conferences.public transportation season ticket loan.£56 per month to use toward qualifying wellness expenses.central location a fully stocked kitchen adjustable sitting/standing desks quarterly offsites locally roasted coffee happy hours and more! 
yelp values diversity. we’re proud to be an equal opportunity employer and consider qualified applicants without regard to race color religion sex national origin ancestry age genetic information sexual orientation gender identity marital or family status veteran status medical condition disability or any other protected status.

note: yelp does not accept agency resumes. please do not forward resumes to any recruiting alias or employee. yelp is not responsible for any fees related to unsolicited resumes.
 ",uk,scientist,2.0
data scientist,kleboe jardine ltd,edinburgh scotland united kingdom,2 weeks ago,,"
my client is a healthcare data analytics company working across a range of bespoke projects to ensure innovation efficiency and developments in healthcare. the business analyses terabyte-scale medical datasets and works towards the vision of connecting the world’s health data to improve patient outcomes. 
culturally the business has an extensive pool of expertise and is an excellent place to flourish as a data scientist. the business offers a fantastic working environment combined with a flexible approach and supportive knowledgeable team plus a comprehensive benefits package.
this is an opportunity to contribute to healthcare developments and gain expertise within a unique space within the data science industry. we are looking for someone with skills such as...
data analysis using python or r plus the interrogation manipulation integration or datastatistical probability distributions and an understanding of power bias and errorexperience with health-related data e.g. genomics disease data. is desirable but not essentialdesire to work in a collaborative and close-knit team cultureinterest in exploring and researching novel topicsintellectual curiosity and the desire to develop skills
this is a fantastic business for anyone transitioning away from academia and into a commercially focused role or for an established professional eager to apply their skills within a unique niche in the data field.
 ",uk,scientist,
data scientist hybrid remote friendly,imagine communications,united kingdom,1 month ago,21.0,"
              at imagine communications our mission is to help our customers we do this by delivering media software solutions. we are challenging the way our customers work and educating them on how to do it better. with a global team of dedicated employees imagine communications is leading the way in a fast-changing industry.

why imagine? 

imagine communications offers a generous pension to all our employees private medical and dental. we like to make sure all our employees are safe when travelling so we’ve got travel insurance covered too. employee wellbeing is a priority for us so all employees and their family have access to our eap service. we have subsidised gym membership life assurance and group income protection.

gameplan is imagine’s cloud-based inventory optimization solution. the sophisticated optimization algorithm automatically places and removes advertising spots in such a way that our customers can reap the rewards of maximizing revenue; delivering on audience commitments with minimal wastage; minimizing operational cost. as a data scientist you will be operating gameplan on behalf of our customers. you will
elicit feedback from customers deciphering what their specific business goals are and determine an optimal gameplan configuration strategy to achieve those goalsanalyze customers’ as-is position understanding their current utilization of advertising optimization software and calculating productivity and effectiveness metricsperform gameplan optimization ‘runs’ with customized settings designed to yield the best results for the specific customerinterpret and analyze the system reporting metrics to gain insight areas for potential improvementevaluate optimization metrics for each customer engagement and track progress against service guaranteesdevelop and deliver summary presentations to internal stakeholders and customer teamscommunicate effectively and work in lockstep with customers’ airtime management teams to ensure alignment with changing business imperativesperform proof of concept exercises to effectively demonstrate the effectiveness of the gameplan optimizer to potential customersliaise with engineering and product teams regularly to understand and/or influence new feature development which could improve the optimization processclearly document your insights and working process to facilitate the swift onboarding of new team members4+ years’ experience in a data analyst role working within a customer environment to optimize business outcomesstrong analytical skills including the ability to synthesize and decipher data to solve problems and the wherewithal to leverage insights to produce solutionsloves numbers analysis and feels at home with a complex spreadsheetstrong initiative and ability to work well under pressure while maintaining a good attitude.ability to work well independently; define/manage objectives in a fast paced ever-changing environment.ability to collaborate within a team and alongside key stakeholders from various internal groups.ability to prioritize multiple tasks and meet deadlines with demonstrated initiative.attention to detail and independent quality assurance of own worksolid verbal and written communication skills.fast learner eager to deepen knowledge and understanding of imagine’s products and solutions as well as our customers’ operations and business priorities
desired qualifications
bachelor’s degree economics mathematics engineering preferredexperience with sql and other database management programs
celebrating difference together stronger

at imagine communications we don’t just accept difference — we celebrate it we support it and we thrive on it for the benefit of our customers our employees our products and our communities. we are committed to providing an environment of mutual respect. imagine communications is proud to be an equal opportunity workplace and is an affirmative action employer.
 ",uk,scientist,
data scientist remote,sensor tower,united kingdom,1 week ago,64.0,"
              role summary:

data scientists at sensor tower are hybrid data scientists and software engineers. you would take data all the way from doing initial analysis to building data pipelines to final model implementation and monitoring. data scientists take full ownership of the back-end of the products they’re working on.

we are looking for a hands-on thinker to help harvest new insights from our constantly growing foundation of quantitative information collected from the mobile app ecosystem.

we are a remote first company and at this time are only able to hire folks who reside in the following states: california colorado florida iowa massachusetts illinois new mexico new york oregon texas and washington.

what you will be focusing on
prototype machine learning models in python or rubywork with mongodb and analyze query performance to ensure calculation efficiencywrite tests for the implementation of machine learning modelscollaborate with back-end engineers to understand the raw data being collectedcollaborate with front-end engineers to create data visualizations for both external and internal customerspresent results of various data analysis



experience which will be beneficial
degree in mathematics statistics or computer scienceexperience in business intelligence data mining analytics or statistical modeling in technology or mobile industries or 2+ years applied experience in data science in mobile market intelligenceability to write code that is ready for production python and ruby preferredexperience with adjusting data for biasability to communicate effectively with technical developers and non-technical marketing business partnersability to critically analyse given data ask probing questions and perform own researchknowledge of statistical modeling techniques



about sensor tower

sensor tower is a high-growth saas company that provides accurate comprehensive and customizable mobile market economy analytics to app developers game developers industry analysts and investors. founded in 2013 sensor tower has grown from a $1m seed investment to being profitable and in 2020 we received a $42m growth investment from riverwood capital.

why sensor tower?

our flexible work environment allows employees to live in greater connection with the people places and activities they love!

our benefits include:
 flexible time off so employees can shape their time away from work. health and wellness stipend to achieve and maintain a healthy lifestyle through physical and mental fitness. monthly internet stipend and a one-time $500 home office stipend.

we are committed to equal employment opportunity regardless of race color ancestry religion sex national origin sexual orientation age citizenship marital status disability gender identity and veteran status. we will consider qualified applicants with arrest and conviction records. if you have a disability or special need please do not hesitate to let us know and well do our best to accommodate.

 ",uk,scientist,2.0
