,job_title,company_name,location,work_type,date_posted,applicant_count,level,company_info,job_description_lines,country,job
0,"('DIGITAL DATA ANALYST - REMOTE',)","('Harnham',)","('London, England, United Kingdom',)","('Remote',)","('5 days ago',)","('25 applicants',)","('1 school alumni',)","('See how you compare to 25 applicants. Retry Premium Free',)","
DIGITAL DATA ANALYST

REMOTE

£50,000 - £60,000

Customer experience agency looking for a web analyst with a strategic mindset and a desire to progress quickly.

The Company

an eclectic mix of bright and creative thinkers, embracing the best of research, strategy, design and experimentation to solve their clients' toughest challenges

THE ROLE 

typically a team of CRO specialists with a bit of analytical experience but this role will be the first Data focused role, building up the function and potentially heading up a team.
Working on the delivery of analytics for the existing 3 clientsSupporting the sales team on pitches and building out new clientsSupporting on troubleshooting and implementation
The Skills
GA/ AALeadership potential SQL / BigQuery (can be very basic) 
Benefits

Up to £60,000, 30 days holiday, fully remote working with a WeWork subscription, 4 and half-day work week (Friday is 1 pm finish!), £350 working from allowance and unlimited amount of progression and development potential.

How To Apply

Please register your interest by sending your CV to Holly Taylor via the apply link on this page.
 ",uk,analyst
1,"('DIGITAL DATA ANALYST - REMOTE',)","('Harnham',)","('London, England, United Kingdom',)","('Remote',)","('5 days ago',)","('25 applicants',)","('1 school alumni',)","('See how you compare to 25 applicants. Retry Premium Free',)","
DIGITAL DATA ANALYST

REMOTE

£50,000 - £60,000

Customer experience agency looking for a web analyst with a strategic mindset and a desire to progress quickly.

The Company

an eclectic mix of bright and creative thinkers, embracing the best of research, strategy, design and experimentation to solve their clients' toughest challenges

THE ROLE 

typically a team of CRO specialists with a bit of analytical experience but this role will be the first Data focused role, building up the function and potentially heading up a team.
Working on the delivery of analytics for the existing 3 clientsSupporting the sales team on pitches and building out new clientsSupporting on troubleshooting and implementation
The Skills
GA/ AALeadership potential SQL / BigQuery (can be very basic) 
Benefits

Up to £60,000, 30 days holiday, fully remote working with a WeWork subscription, 4 and half-day work week (Friday is 1 pm finish!), £350 working from allowance and unlimited amount of progression and development potential.

How To Apply

Please register your interest by sending your CV to Holly Taylor via the apply link on this page.
 ",uk,analyst
2,"('Work from Home Opportunity | Data Analyst',)","('TELUS International AI Data Solutions',)","('London Area, United Kingdom',)","('Remote',)","('3 weeks ago',)",,"('',)","('Actively recruiting',)","
TELUS International AI-Data Solutions partners with a diverse and vibrant community to help our customers enhance their AI and machine learning models. The work of our AI Community contributes to improving technology and the digital experiences of many people around the world. Our AI Community works in our proprietary AI training platform handling all data types (text, images, audio, video and geo) across 500+ languages and dialects. We offer flexible work-from-home opportunities for people with passion for languages. The jobs are part-time, and there is no fixed schedule. Whoever you are, wherever you come from, come join our global AI community.

We are hiring freelance Swedish/English speaking Online Data Analyst for a project aimed at improving the content and quality of digital maps, which are used by millions of users globally. The job would suit someone who is detail-oriented, likes doing research and has a good knowledge of national and local geography.

This is a freelance position on a flexible schedule of up to 20 hours per week - you can work in your own time whenever work is available. You will be completing research and evaluation tasks in a web-based environment, eg verifying and comparing data, determining the relevance and accuracy of information. You will be provided with guidelines for each task, which need to be followed. The project offers a variety of tasks, and work is paid per task.

Requirements:Fluency in English and SwedishYou must be living in Sweden/United Kingdom for the last 2 consecutive yearsYou must have familiarity with current and historical business, media, sport, news, social media and cultural affairs in Sweden/United KingdomBeing open to work across a diverse set of Task Types (e.g. News, Audio tasks, Relevance)Ability to follow guidelines and do research online using search engines, online maps and website informationApplicants must be 18 years or over. ID verification must be attached when submitting your application.

Interested? Please follow the steps below to apply:1. Create an account here:Swedish (Sweden) - https://www.telusinternational.ai/cmp/contributor/jobs/available/196English (United Kingdom) - https://www.telusinternational.ai/cmp/contributor/jobs/available/2022. Click ""Sign Up"" and answer the necessary fields.3. Check your email inbox to confirm your email and set up your password and account.4. Once you complete the registration process, click the ""Apply"" button to start your application process for the project.

Working on this project will require you to go through a standard recruitment process (including passing an open book assessment). This is a long-term project and your work will occasionally be subject to quality assurance checks.

Why Join the TELUS International AI Community?Earn extra incomeAccess to our community wellbeing initiativeRemote work & Location IndependenceBe your own boss
 ",uk,analyst
3,"('Online Data Analyst',)","('TELUS International AI Data Solutions',)","('Greater Cheshire West and Chester Area',)","('Remote',)","('1 week ago',)","('85 applicants',)","('See how you compare to 85 applicants. Retry Premium Free',)","('',)","
TELUS International AI-Data Solutions partners with a diverse and vibrant community to help our customers enhance their AI and machine learning models. The work of our AI Community contributes to improving technology and the digital experiences of many people around the world. Our AI Community works in our proprietary AI training platform handling all data types (text, images, audio, video and geo) across 500+ languages and dialects. We offer flexible work-from-home opportunities for people with passion for languages. The jobs are part-time, and there is no fixed schedule. Whoever you are, wherever you come from, come join our global AI community.


We are hiring freelance Swedish/English speaking Online Data Analyst for a project aimed at improving the content and quality of digital maps, which are used by millions of users globally. The job would suit someone who is detail-oriented, likes doing research and has a good knowledge of national and local geography.

This is a freelance position on a flexible schedule of up to 20 hours per week - you can work in your own time whenever work is available. You will be completing research and evaluation tasks in a web-based environment, eg verifying and comparing data, determining the relevance and accuracy of information. You will be provided with guidelines for each task, which need to be followed. The project offers a variety of tasks, and work is paid per task.

Requirements:Fluency in English and SwedishYou must be living in Sweden/United Kingdom for the last 2 consecutive yearsYou must have familiarity with current and historical business, media, sport, news, social media and cultural affairs in Sweden/United KingdomBeing open to work across a diverse set of Task Types (e.g. News, Audio tasks, Relevance)Ability to follow guidelines and do research online using search engines, online maps and website informationApplicants must be 18 years or over. ID verification must be attached when submitting your application.

Interested? Please follow the steps below to apply:1. Create an account here:Swedish (Sweden) - https://www.telusinternational.ai/cmp/contributor/jobs/available/196English (United Kingdom) - https://www.telusinternational.ai/cmp/contributor/jobs/available/2022. Click ""Sign Up"" and answer the necessary fields.3. Check your email inbox to confirm your email and set up your password and account.4. Once you complete the registration process, click the ""Apply"" button to start your application process for the project.

Working on this project will require you to go through a standard recruitment process (including passing an open book assessment). This is a long-term project and your work will occasionally be subject to quality assurance checks.

Why Join the TELUS International AI Community?Earn extra incomeAccess to our community wellbeing initiativeRemote work & Location IndependenceBe your own boss
 ",uk,analyst
4,"('Online Data Analyst',)","('TELUS International AI Data Solutions',)","('Wolverhampton, England, United Kingdom',)","('Remote',)","('1 week ago',)","('57 applicants',)","('See how you compare to 57 applicants. Retry Premium Free',)","('',)","
TELUS International AI-Data Solutions partners with a diverse and vibrant community to help our customers enhance their AI and machine learning models. The work of our AI Community contributes to improving technology and the digital experiences of many people around the world. Our AI Community works in our proprietary AI training platform handling all data types (text, images, audio, video and geo) across 500+ languages and dialects. We offer flexible work-from-home opportunities for people with passion for languages. The jobs are part-time, and there is no fixed schedule. Whoever you are, wherever you come from, come join our global AI community.


We are hiring freelance Swedish/English speaking Online Data Analyst for a project aimed at improving the content and quality of digital maps, which are used by millions of users globally. The job would suit someone who is detail-oriented, likes doing research and has a good knowledge of national and local geography.

This is a freelance position on a flexible schedule of up to 20 hours per week - you can work in your own time whenever work is available. You will be completing research and evaluation tasks in a web-based environment, eg verifying and comparing data, determining the relevance and accuracy of information. You will be provided with guidelines for each task, which need to be followed. The project offers a variety of tasks, and work is paid per task.

Requirements:Fluency in English and SwedishYou must be living in Sweden/United Kingdom for the last 2 consecutive yearsYou must have familiarity with current and historical business, media, sport, news, social media and cultural affairs in Sweden/United KingdomBeing open to work across a diverse set of Task Types (e.g. News, Audio tasks, Relevance)Ability to follow guidelines and do research online using search engines, online maps and website informationApplicants must be 18 years or over. ID verification must be attached when submitting your application.

Interested? Please follow the steps below to apply:1. Create an account here:Swedish (Sweden) - https://www.telusinternational.ai/cmp/contributor/jobs/available/196English (United Kingdom) - https://www.telusinternational.ai/cmp/contributor/jobs/available/2022. Click ""Sign Up"" and answer the necessary fields.3. Check your email inbox to confirm your email and set up your password and account.4. Once you complete the registration process, click the ""Apply"" button to start your application process for the project.

Working on this project will require you to go through a standard recruitment process (including passing an open book assessment). This is a long-term project and your work will occasionally be subject to quality assurance checks.

Why Join the TELUS International AI Community?Earn extra incomeAccess to our community wellbeing initiativeRemote work & Location IndependenceBe your own boss
 ",uk,analyst
5,"('Data Analyst',)","('OVO',)","('United Kingdom',)","('Remote',)","('3 weeks ago',)","('18 applicants',)","('2 school alumni',)","('See how you compare to 18 applicants. Retry Premium Free',)","
Location - Flexible

We’re making zero carbon happen

We’re OVO Group, a big family of companies united by a single vision: to get to zero carbon, fast.

We call this Plan Zero – and it shows how we’ll be fighting the climate crisis and transforming the way people use energy over the next decade. To do this, we need the sharpest minds. Are you up for the challenge?

Do great green things with OVO Energy

So much has changed since we launched in 2009. Our goal remains the same though: make energy cheaper, greener, and simpler. Just as it was on day one.

Everyone belongs at OVO

Our aim is to build a diverse and inclusive movement: teams of brilliant people, with unique talents, skills, passions, and experiences.

We encourage everyone to join us, whatever your gender identity, race, ethnicity, sexual orientation, age, life experience, or background. So please come as you are – we can’t wait to meet you.

Where in the world of OVO will I be working?

As a Data Analyst at OVO Energy you’ll play a key role in achieving our vision of creating clean, affordable energy for everyone.

The energy industry has changed a lot in recent years, and we don’t expect that to stop any time soon. OVO Energy is changing too - we’re more than just an energy supplier, we’re leading the way in showing our customers the energy world of tomorrow.

By creating innovative technology we’re helping customers manage their energy better, decrease their bills and drive their electric vehicles further - all whilst improving our planet for generations to come.Data is the foundation of everything we do at OVO, and to deliver our vision we need curious, tenacious people who can turn this data, and their knowledge, into strategy and actions.

You’ll be working as part of Customer Care within OVO Retail and will be at the heart of enabling the transformation to digital at scale, customer centric business with intelligent operations powered by unified, modern technology. OVO Care is a 4000 FTE strong area within the OVO Group which serves our members through multiple contact channels.

You’ll champion customer excellence and be empowered to make a difference on a global scale through enabling our Plan Zero objectives.You’ll be part of Operational Excellence, established to measure performance, create insight and oversee and deliver initiatives that create, improve or transform capability - keeping the customer at the heart of the agenda.

What will I be doing?

We’re looking for an experienced Data Analyst with expert technical data skills, sound commercial and business knowledge and excellent interpersonal skills, who will support our OVO Care team.

Reporting into the Performance Lead, the Data Analyst will play a number of roles to drive performance for our delivery and customer facing teams. You will:
make decisions on how processes and journeys are measured, identifying, sourcing and analysing data from a range of systems to support improving the operation’s efficiency. provide analysis, data insights and monitor results to drive down unnecessary costs, enhance service and sales and deliver a better experience for our colleagues and customers. think outside the box when presented with system and data challenges joining available datasets to provide richer datacreate and deliver process KPIs and will be responsible for identifying performancebe involved in reporting on and analysing customer data to identify data quality issues, improve effectiveness and customer satisfactioncollaborative working and knowledge sharing are important aspects in the team, as well as having an open mind to learn and be innovative using new techniques, systems and tools.
Is this the job for me?

We’re looking for someone who has a passion for working with data and has a clear understanding of the value this provides to solve real-world business problems. As an experienced Data Analyst you’ll be able to deliver regular, timely and actionable insight to the team and senior stakeholders making data recommendations in a logical and easy to follow way to help influence business decisions.

You’ll be confident in using your analytical expertise to challenge opinions when necessary. You’ll be able to perform analytical deep dives on business issues to identify drivers and trends, extract insight from data and clearly explain their meaning. You’ll be fluent in statistical methodology and tools and have the relevant experience to undertake complex analytical queries. Knowledge of predictive analytics tools is desirable as is knowledge and experience of using SQL.

You should be comfortable working in an operational database environment as well as within an environment of significant business change. Experience of using visual management aids such as developing dashboards using Tableau or Google data studio and working within a fast-paced change focussed environment would be beneficial.

Finally, you’ll also need the ability to manage and prioritise an evolving workload and communicate effectively with team members to ensure on time delivery but also to reduce duplication across teams.

Skills And Experience…
Experience in a similar data or analytical role.You will be experienced in core analysis technologies, with excellent SQL & Excel/Sheets skillsCan confidently build and present meaningful data visualisations, in Excel/Sheets and ideally a dashboarding platform such as Tableau.Can interpret graphical representations of data and make recommendations.Statistical knowledge including sampling, significance, hypothesis testing and basic probability theoryHighly numerate & analytical, able to delve into the detail but understand the strategic viewAble to document and version control your work so others can pick it up and build on itProven ability to engage productively with internal and external stakeholders and hold suppliers effectively to account for performance and meeting commitments.Experience of working in a fast paced environment where prioritisation isrequiredExcellent presentation and communication skills - able to articulate results clearly and concisely to senior stakeholders.
We’re in the business of building a different kind of Energy Company, one where not only our customers benefit from better service and opportunity but our people do too.

OVO was set up to always find a better way and challenge the status quo. We believe in simplicity, transparency and treating people and the planet fairly. But we also believe that attracting and keeping the best talent is key to our bright future, so that’s why our people will always get a chance to share in our success. OVO believes in fueling human progress with clean and abundant energy for all.

Brilliant Benefits For a World-changing Team

Our people are at the heart of Plan Zero. That’s why we offer plenty of green benefits and progressive policies to make you feel at home.

For starters, you’ll get 34 days of holiday (including bank holidays).

Then there’s Flex Pay. It’s an extra 9% of your salary on top of your core pay to use as you like. You can take it as cash, add to your pension, or choose to spend it on a huge range of flex benefits.

Here’s a taster of what’s on offer:

For your health

With benefits like a healthcare cash plan or private medical insurance depending on your career level, critical illness cover, life assurance, health assessments, and more

For your wellbeing

With gym membership, gadget, travel and cyber insurance, workplace ISA, will writing services, DNA testing, dental insurance, and more

For your lifestyle 

With extra holiday buying, discount dining, culture cards, tech loans, and supporting your favourite charities with give-as-you-earn donations

For your home 

Get up to £300 off any OVO Energy plan (when you pay by Direct Debit), plus personal carbon offsetting and great discounts on smart thermostats and EV chargers

For your commute 

Nab a great deal on ultra-low emission car leasing, plus our cycle to work scheme and public transport season ticket loans

Want to hear about our full range of flexible benefits and progressive people policies? Our People Team can tell you everything you need to know.

Oh, and one last thing...

We’d be thrilled if you tick off all our boxes yet we also believe it’s just as important we tick off all of yours. And if you think you have most of what we’re looking for but not every single thing, go ahead and hit apply. We’d still love to hear from you!

 ",uk,analyst
6,"('DIGITAL DATA ANALYST - REMOTE',)","('Harnham',)","('London, England, United Kingdom',)","('Remote',)","('1 week ago',)",,"('See how you compare to 230 applicants. Retry Premium Free',)","('',)","
DIGITAL DATA ANALYST

REMOTE

£50,000 - £60,000

Customer experience agency looking for a web analyst with a strategic mindset and a desire to progress quickly.

The Company

an eclectic mix of bright and creative thinkers, embracing the best of research, strategy, design and experimentation to solve their clients' toughest challenges

THE ROLE 

typically a team of CRO specialists with a bit of analytical experience but this role will be the first Data focused role, building up the function and potentially heading up a team.
Working on the delivery of analytics for the existing 3 clientsSupporting the sales team on pitches and building out new clientsSupporting on troubleshooting and implementation
The Skills
GA/ AALeadership potential SQL / BigQuery (can be very basic) 
Benefits

Up to £60,000, 30 days holiday, fully remote working with a WeWork subscription, 4 and half-day work week (Friday is 1 pm finish!), £350 working from allowance and unlimited amount of progression and development potential.

How To Apply

Please register your interest by sending your CV to Holly Taylor via the apply link on this page.
 ",uk,analyst
7,"('Online Data Analyst',)","('TELUS International AI Data Solutions',)","('Southborough, England, United Kingdom',)","('Remote',)","('2 weeks ago',)","('38 applicants',)","('See how you compare to 38 applicants. Retry Premium Free',)","('',)","
TELUS International AI-Data Solutions partners with a diverse and vibrant community to help our customers enhance their AI and machine learning models. The work of our AI Community contributes to improving technology and the digital experiences of many people around the world. Our AI Community works in our proprietary AI training platform handling all data types (text, images, audio, video and geo) across 500+ languages and dialects. We offer flexible work-from-home opportunities for people with passion for languages. The jobs are part-time, and there is no fixed schedule. Whoever you are, wherever you come from, come join our global AI community.

We are hiring freelance Swedish/English speaking Online Data Analyst for a project aimed at improving the content and quality of digital maps, which are used by millions of users globally. The job would suit someone who is detail-oriented, likes doing research and has a good knowledge of national and local geography.

This is a freelance position on a flexible schedule of up to 20 hours per week - you can work in your own time whenever work is available. You will be completing research and evaluation tasks in a web-based environment, eg verifying and comparing data, determining the relevance and accuracy of information. You will be provided with guidelines for each task, which need to be followed. The project offers a variety of tasks, and work is paid per task.

Requirements:Fluency in English and SwedishYou must be living in Sweden/United Kingdom for the last 2 consecutive yearsYou must have familiarity with current and historical business, media, sport, news, social media and cultural affairs in Sweden/United KingdomBeing open to work across a diverse set of Task Types (e.g. News, Audio tasks, Relevance)Ability to follow guidelines and do research online using search engines, online maps and website informationApplicants must be 18 years or over. ID verification must be attached when submitting your application.

Interested? Please follow the steps below to apply:1. Create an account here:Swedish (Sweden) - https://www.telusinternational.ai/cmp/contributor/jobs/available/196English (United Kingdom) - https://www.telusinternational.ai/cmp/contributor/jobs/available/2022. Click ""Sign Up"" and answer the necessary fields.3. Check your email inbox to confirm your email and set up your password and account.4. Once you complete the registration process, click the ""Apply"" button to start your application process for the project.

Working on this project will require you to go through a standard recruitment process (including passing an open book assessment). This is a long-term project and your work will occasionally be subject to quality assurance checks.

Why Join the TELUS International AI Community?Earn extra incomeAccess to our community wellbeing initiativeRemote work & Location IndependenceBe your own boss
 ",uk,analyst
8,"('Online Data Analyst (Part-time)',)","('TELUS International AI Data Solutions',)","('Newcastle upon Tyne, England, United Kingdom',)","('Remote',)","('2 weeks ago',)","('79 applicants',)","('See how you compare to 79 applicants. Retry Premium Free',)","('',)","
TELUS International AI-Data Solutions partners with a diverse and vibrant community to help our customers enhance their AI and machine learning models. The work of our AI Community contributes to improving technology and the digital experiences of many people around the world. Our AI Community works in our proprietary AI training platform handling all data types (text, images, audio, video and geo) across 500+ languages and dialects. We offer flexible work-from-home opportunities for people with passion for languages. The jobs are part-time, and there is no fixed schedule. Whoever you are, wherever you come from, come join our global AI community.

We are hiring freelance Swedish/English speaking Online Data Analyst for a project aimed at improving the content and quality of digital maps, which are used by millions of users globally. The job would suit someone who is detail-oriented, likes doing research and has a good knowledge of national and local geography.

This is a freelance position on a flexible schedule of up to 20 hours per week - you can work in your own time whenever work is available. You will be completing research and evaluation tasks in a web-based environment, eg verifying and comparing data, determining the relevance and accuracy of information. You will be provided with guidelines for each task, which need to be followed. The project offers a variety of tasks, and work is paid per task.

Requirements:Fluency in English and SwedishYou must be living in Sweden/United Kingdom for the last 2 consecutive yearsYou must have familiarity with current and historical business, media, sport, news, social media and cultural affairs in Sweden/United KingdomBeing open to work across a diverse set of Task Types (e.g. News, Audio tasks, Relevance)Ability to follow guidelines and do research online using search engines, online maps and website informationApplicants must be 18 years or over. ID verification must be attached when submitting your application.

Interested? Please follow the steps below to apply:1. Create an account here:Swedish (Sweden) - https://www.telusinternational.ai/cmp/contributor/jobs/available/196English (United Kingdom) - https://www.telusinternational.ai/cmp/contributor/jobs/available/2022. Click ""Sign Up"" and answer the necessary fields.3. Check your email inbox to confirm your email and set up your password and account.4. Once you complete the registration process, click the ""Apply"" button to start your application process for the project.

Working on this project will require you to go through a standard recruitment process (including passing an open book assessment). This is a long-term project and your work will occasionally be subject to quality assurance checks.

Why Join the TELUS International AI Community?Earn extra incomeAccess to our community wellbeing initiativeRemote work & Location IndependenceBe your own boss
 ",uk,analyst
9,"('DIGITAL DATA ANALYST - REMOTE',)","('Harnham',)","('London, England, United Kingdom',)","('Remote',)","('1 week ago',)","('91 applicants',)","('1 school alumni',)","('See how you compare to 91 applicants. Retry Premium Free',)","
DIGITAL DATA ANALYST

REMOTE

£50,000 - £60,000

Customer experience agency looking for a web analyst with a strategic mindset and a desire to progress quickly.

The Company

an eclectic mix of bright and creative thinkers, embracing the best of research, strategy, design and experimentation to solve their clients' toughest challenges

THE ROLE 

typically a team of CRO specialists with a bit of analytical experience but this role will be the first Data focused role, building up the function and potentially heading up a team.
Working on the delivery of analytics for the existing 3 clientsSupporting the sales team on pitches and building out new clientsSupporting on troubleshooting and implementation
The Skills
GA/ AALeadership potential SQL / BigQuery (can be very basic) 
Benefits

Up to £60,000, 30 days holiday, fully remote working with a WeWork subscription, 4 and half-day work week (Friday is 1 pm finish!), £350 working from allowance and unlimited amount of progression and development potential.

How To Apply

Please register your interest by sending your CV to Holly Taylor via the apply link on this page.
 ",uk,analyst
