,job_title,company_name,location,work_type,date_posted,applicant_count,level,company_info,job_description_lines,country,job
0,"('Customer Engineer',)","('PlanetScale',)","('United States',)","('Remote',)","('2 weeks ago',)","('97 applicants',)","('See how you compare to 97 applicants. Retry Premium Free',)","('',)","
              We build our platform on top of Vitess, built by our co-founders at YouTube and Google. We also provide enterprise support for customers running Vitess in their environment.

To support both our cloud platform and enterprise customers, the Customer Engineering team leads the way. We are looking for a Customer Engineer to anchor our team.

What's the job to be done?
You will triage and prioritize customer issues, while collaborating with our Technical Account Management and Support teams.You will work on finding the root cause for high priority customer issues, designing and implementing code fixes in our codebase, while collaborating as necessary with our core Engineering teams.
These attributes best describe you…
You have excellent debugging and troubleshooting skills; with a mix of enough experience and intuition to zero in on root-causes for bugs that can leave others stumped.You are comfortable stepping outside your comfort zone. Be it delving into unfamiliar code in Vitess, one of its dependencies, or a random MySQL connector, written in a language you may not know (yet!). Working with code as your main source of documentation doesn't fluster you, and you are happy to help add/correct it as necessary where it may be inaccurate.You can operate independently, but you know when you are in too deep and need to ask for help before going down a rabbit hole for days (or weeks!).You know how to work under pressure in times of urgency. We and our customers both take issues with their data platform seriously.You have good customer-facing skills. Even though your primary task isn't interacting directly with customers, we do believe in high-bandwidth engineer-to-engineer interaction with customers, where necessary, to troubleshoot issues.
What You Will Need
Experience deploying and running (or helping customers deploy and run) databases and applications, at scaleExperience with MySQLWorking knowledge of KubernetesProgramming experience: Golang preferred; but deep experience in back-end server or systems programming at some point in your career, preferably on mission-critical, concurrent code.
What Else Will Help You Be Successful
Knowledge of common application deployment platforms and frameworks. Our customers use all kinds of languages and frameworks to speak to Vitess / PlanetScale. While no-one can possibly be fluent with all of them, knowledge of a few can be super-useful.Experience working in a remote organizationBasic knowledge of open source development and communities
At PlanetScale we believe in supporting people to do their best work and thrive no matter the location. Our mission is to build a diverse, equitable, and inclusive company. We strive to build an inclusive environment where all people feel that they are equally respected and valued, whether they are a candidate or an employee. We welcome applicants of any educational background, gender identity and expression, sexual orientation, religion, ethnicity, age, citizenship, socioeconomic status, disability, pregnancy status, and veteran status.

If you have a disability, please let us know if there's any way we can make the interview process better for you; we're happy to accommodate!

 ",usa,analyst
1,"('Customer Engineer',)","('PlanetScale',)","('United States',)","('Remote',)","('2 weeks ago',)","('97 applicants',)","('See how you compare to 97 applicants. Retry Premium Free',)","('',)","
              We build our platform on top of Vitess, built by our co-founders at YouTube and Google. We also provide enterprise support for customers running Vitess in their environment.

To support both our cloud platform and enterprise customers, the Customer Engineering team leads the way. We are looking for a Customer Engineer to anchor our team.

What's the job to be done?
You will triage and prioritize customer issues, while collaborating with our Technical Account Management and Support teams.You will work on finding the root cause for high priority customer issues, designing and implementing code fixes in our codebase, while collaborating as necessary with our core Engineering teams.
These attributes best describe you…
You have excellent debugging and troubleshooting skills; with a mix of enough experience and intuition to zero in on root-causes for bugs that can leave others stumped.You are comfortable stepping outside your comfort zone. Be it delving into unfamiliar code in Vitess, one of its dependencies, or a random MySQL connector, written in a language you may not know (yet!). Working with code as your main source of documentation doesn't fluster you, and you are happy to help add/correct it as necessary where it may be inaccurate.You can operate independently, but you know when you are in too deep and need to ask for help before going down a rabbit hole for days (or weeks!).You know how to work under pressure in times of urgency. We and our customers both take issues with their data platform seriously.You have good customer-facing skills. Even though your primary task isn't interacting directly with customers, we do believe in high-bandwidth engineer-to-engineer interaction with customers, where necessary, to troubleshoot issues.
What You Will Need
Experience deploying and running (or helping customers deploy and run) databases and applications, at scaleExperience with MySQLWorking knowledge of KubernetesProgramming experience: Golang preferred; but deep experience in back-end server or systems programming at some point in your career, preferably on mission-critical, concurrent code.
What Else Will Help You Be Successful
Knowledge of common application deployment platforms and frameworks. Our customers use all kinds of languages and frameworks to speak to Vitess / PlanetScale. While no-one can possibly be fluent with all of them, knowledge of a few can be super-useful.Experience working in a remote organizationBasic knowledge of open source development and communities
At PlanetScale we believe in supporting people to do their best work and thrive no matter the location. Our mission is to build a diverse, equitable, and inclusive company. We strive to build an inclusive environment where all people feel that they are equally respected and valued, whether they are a candidate or an employee. We welcome applicants of any educational background, gender identity and expression, sexual orientation, religion, ethnicity, age, citizenship, socioeconomic status, disability, pregnancy status, and veteran status.

If you have a disability, please let us know if there's any way we can make the interview process better for you; we're happy to accommodate!

 ",usa,analyst
2,"('Data Analyst',)","('Dice',)","('United States',)","('Remote',)","('12 hours ago',)","('99 applicants',)","('See how you compare to 99 applicants. Retry Premium Free',)","('',)","
              Dice is the leading career destination for tech experts at every stage of their careers. Our client, Wipro Ltd., is seeking the following. Apply via Dice today!

Wipro Limited (NYSE: WIT, BSE: 507685, NSE: WIPRO) is a leading global information technology, consulting and business process services company. We harness the power of cognitive computing, hyper-automation, robotics, cloud, analytics and emerging technologies to help our clients adapt to the digital world and make them successful. A company recognized globally for its comprehensive portfolio of services, strong commitment to sustainability and good corporate citizenship, we have over 220,000 dedicated employees serving clients across six continents. Together, we discover ideas and connect the dots to build a better and a bold new future Securities.

Technical Skills Required Are
SQL (HIVE/Oracle)Basic PythonTableau

Person is required to work on :
Answering business questions performing analysis and primarily addressing adhoc questions from businessAnalyst will look at date, write queriesWhen not addressing Business questions then analyst will work on backlogs which is primarily Tableau dashboard development, developing /enhancing data productsStrong communication skills.Prior experience working in a data science or business insights team.

“Wipro is an Equal Employment Opportunity employer and makes all employment and employment-related decisions without regard to a person's race, sex, national origin, ancestry, disability, sexual orientation, or any other status protected by applicable law”
 provided by Dice


 ",usa,analyst
3,"('Data Analyst',)","('Motion Recruitment',)","('United States',)","('Remote',)","('3 hours ago',)","('147 applicants',)","('501-1,000 employees · Staffing and Recruiting',)","('See recent hiring trends for Motion Recruitment. Retry Premium Free',)","
Our client, one of the leading digital payments and fintech companies in the United States, is looking to hire a Data Analyst remotely!
*Must have Workday experience 
As a Data Analyst, you will be entering data into Workday HRIS via both individual and bulk processes and conduct data audits and execute corrective actions across multiple HR systems. You will also be working with the operations team and working with numerous partners and customers to resolve employee data issues.

Responsibilities:Assisting with recurring onboarding related activities (e.g., scheduling onboarding meeting sessions, Right to Work verification, I-9 reverification, international onboarding);Service employee queries involving general operations or programs (e.g., new onboarding, general external workforce related questions, external workforce extension tasks, etc.);Processing tickets – JIRA ticket entry, Workday ticket inquiriesProcessing 50-100 tickets a week with Workday

Qualifications:2+ years of Workday operational experience with data entryExcellent speaking and listening skills to share information effectively, while paying careful attention to concerns and questions from employees and job applicantsAble to interpret and apply judgment according to directions or guidance.Ability to offer more in different areas to better the processes and be proactive in improvingHighly computer literate with capability in MS Office (Excel) and Google applications (gMail, Docs, Sheets)Working understanding of human resource principles, practices, and procedures.
 ",usa,analyst
4,"('Data Analyst',)","('General Dynamics Information Technology',)","('Little Rock, AR',)","('Remote',)","('4 weeks ago',)","('8 applicants',)","('See how you compare to 8 applicants. Retry Premium Free',)","('',)","
Type Of Requisition

Job Description:

Regular

Clearance Level Must Currently Possess

None

Clearance Level Must Be Able To Obtain

None

Suitability

No Suitability Required

Public Trust/Other Required

None

Job Family

Data Analysis

Job Description

We are GDIT. We take pride in providing our clients with the data they need to make important decisions that impact the world around us.

You make GDIT your place by delivering insights to help our clients make impactful changes real. By owning your opportunity at GDIT, you’ll become a critical part in how we successfully solve our clients’ biggest challenges. Our work depends on a Data Analyst joining our team to support GAINWELL/APII activities at Little Rock, AR.

In This Role, a Typical Day Will Include

At GDIT, our people are at the center of everything we do. As a Data Analyst supporting GAINWELL/APII .
Performs data analysis, interpretation and management duties.Develops rules and methodologies for data collection and analysis.Ensures the integrity of project data, including data extraction, storage, manipulation, processing and analysis.Consults with the external clients and internal staff to determine data management needs and objectives.May be responsible for database design, administration, security, and maintenance.Prepares presentations that reflect the results of the data analysis.Provides data-related training to staff.Coordinates with scientists and other technical experts to design and develop statistical analyses methodologies.Maintains current knowledge of relevant technologies as assigned.Participates in special projects as required.
What You’ll Need
Bachelor’s degree (Master's Degree preferred) in a Computer Science, Statistics, MPH or a related technical discipline, or the equivalent combination of education, technical certifications or training, or work experience.2-5 years of related statistics/data analysis experience.Experience with R and/or SAS and/or Python.
What Gdit Can Offer You
401K with company matchChallenging workInternal mobility team dedicated to helping you own your careerRewards program for high-performing employees
Scheduled Weekly Hours

40

Travel Required

None

Telecommuting Options

Remote

Work Location:

USA AR Little Rock

Additional Work Locations:

COVID-19 Vaccination: GDIT does not have a vaccination mandate applicable to all employees. To protect the health and safety of its employees and to comply with customer requirements, however, GDIT may require employees in certain positions to be fully vaccinated against COVID-19. Vaccination requirements will depend on the status of the federal contractor mandate and customer site requirements.

We are GDIT. The people supporting some of the most complex government, defense, and intelligence projects across the country. We deliver. Bringing the expertise needed to understand and advance critical missions. We transform. Shifting the ways clients invest in, integrate, and innovate technology solutions. We ensure today is safe and tomorrow is smarter. We are there. On the ground, beside our clients, in the lab, and everywhere in between. Offering the technology transformations, strategy, and mission services needed to get the job done.

GDIT is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or veteran status, or any other protected class.
 ",usa,analyst
5,"('Data Analyst (Remote)',)","('General Dynamics Information Technology',)","('Little Rock, AR',)","('Remote',)","('3 weeks ago',)","('17 applicants',)","('See how you compare to 17 applicants. Retry Premium Free',)","('',)","
Type Of Requisition

Job Description:

Regular

Clearance Level Must Currently Possess

None

Clearance Level Must Be Able To Obtain

None

Suitability

No Suitability Required

Job Family

Public Trust/Other Required:

Data Analysis

Job Description

We are GDIT. We take pride in providing our clients with the data they need to make important decisions that impact the world around us.

You make GDIT your place by delivering insights to help our clients make impactful changes real. By owning your opportunity at GDIT, you’ll become a critical part in how we successfully solve our clients’ biggest challenges. Our work depends on a DATA ANALYST joining our team to support CUSTOMER activities at LOCATION.
Performs data analysis, interpretation and management duties.Develops rules and methodologies for data collection and analysis.Ensures the integrity of project data, including data extraction, storage, manipulation, processing and analysis.Consults with the external clients and internal staff to determine data management needs and objectives.May be responsible for database design, administration, security, and maintenance.Prepares presentations that reflect the results of the data analysis.Provides data-related training to staff.Coordinates with scientists and other technical experts to design and develop statistical analyses methodologies.Maintains current knowledge of relevant technologies as assigned.Participates in special projects as required.
What You’ll Need
Bachelors Degree in a Computer Science, Statistics or a related technical discipline, or the equivalent combination of education, technical certifications or training, or work experience.2-5 years of related statistics/data analysis experience.Experience with R and/or SAS.Security clearance levelMaster's Degree preferred
What Gdit Can Offer You
401K with company matchChallenging workInternal mobility team dedicated to helping you own your careerRewards program for high-performing employees
Scheduled Weekly Hours

40

Travel Required

None

Telecommuting Options

Remote

Work Location:

USA AR Little Rock

Additional Work Locations:

COVID-19 Vaccination: GDIT does not have a vaccination mandate applicable to all employees. To protect the health and safety of its employees and to comply with customer requirements, however, GDIT may require employees in certain positions to be fully vaccinated against COVID-19. Vaccination requirements will depend on the status of the federal contractor mandate and customer site requirements.

We are GDIT. The people supporting some of the most complex government, defense, and intelligence projects across the country. We deliver. Bringing the expertise needed to understand and advance critical missions. We transform. Shifting the ways clients invest in, integrate, and innovate technology solutions. We ensure today is safe and tomorrow is smarter. We are there. On the ground, beside our clients, in the lab, and everywhere in between. Offering the technology transformations, strategy, and mission services needed to get the job done.

GDIT is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or veteran status, or any other protected class.
 ",usa,analyst
6,"('Need Data Analyst',)","('Dice',)","('United States',)","('Remote',)","('6 hours ago',)",,"('',)","('Actively recruiting',)","
              Dice is the leading career destination for tech experts at every stage of their careers. Our client, iPivot, LLC, is seeking the following. Apply via Dice today!

Greetings,

Hope you are doing well.

We have an Urgent requirement with our direct clients, please go through the job details and let us know if you are interested, do send us your updated resume and contact details

 Data Analyst with BSA

Location: REMOTE

Contract Length: 24+ months

Rates are $ Open

 Location at Princeton , NJ 

""Strong in:

DATA ANALYST WITH BSA
 provided by Dice


 ",usa,analyst
7,"('Data Analyst',)","('Brown & Brown Insurance',)","('United States',)","('Remote',)","('6 days ago',)","('27 applicants',)","('See how you compare to 27 applicants. Retry Premium Free',)","('',)","
              Built on meritocracy, our unique company culture rewards self-starters and those who are committed to doing what is best for our customers.

We think of ourselves as a team, so we have teammates - not employees. We strive to attract people who are competitive, driven, and disciplined.

Brown & Brown Insurance is seeking an experienced professional to join us as a Data Analyst. This is a full time, benefits eligible remote position.

The Data Analyst will be responsible for supporting the national EBTech team in the accurate and timely movement of data between customer payroll/HCM and benefits administration software systems. Most of EBTech customers need to keep data synchronous between the benefits administration software we deploy and support, and the payroll/HCM software that the customer also utilizes. The successful completion of assigned tasks ensures that our customer’s employees receive access to, or are removed from, insurance coverage in a timely manner. In addition, chosen benefits often include payroll deductions for employees, so deductions calculated in benefits administration must be accurately reflected in payroll for proper processing. This is critical for EBTech’s ongoing success. As a Data Analyst, you are responsible for ensuring that tasks are completed on-time with high quality and timeliness. The Data Analyst will work closely with the Software Integration team and other team members in overseeing the completion of all assigned tasks.

Essential Duties And Functions
Upload payroll demographic data files into benefits administration software platforms to keep data in sync between systems. Analyze data errors/issues and complete corrections/updates in timely manner.Format, import and audit demographic and benefits enrollment data for new customer implementations of benefits administration software.Review payroll deduction files, including formatting and transmitting files post open enrollment to update customer payroll deductions.Assist with deduction file setup including data entry and testing scenarios to ensure data is correct and ready for transmission.Assist in payroll demographic data mapping – initial builds or updates as needed.Provide support and answer questions from clients, account managers, payroll vendors, and internal employees regarding payroll feeds for both demographic and deduction files. Learn applicable software tools.Track EDI feed status (sent/received) and error report receipt from carriers on a weekly basis.Follow organizational and line of business processes, protocols and quality standards in the development and deployment of solutions.Represent EBTech in a professional manner in every interaction with outside parties.Provide continuous feedback on implementation status for both new sites and renewals with regard to above stated tasks.Ensure timely and accurate completion of all assigned tasks.
Required
Minimum education required: Associate’s or Bachelor’s degree or equivalent experienceProficient with MS Office Suite, especially ExcelExperience working with personal computer database applicationsExceptional telephone demeanorAbility to maintain a high level of confidentiality
Preferred
One-Two years’ experience in an office environmentExperience with tasks similar to those outlined under essential duties above.
Target Pay

$23.00 USD Hourly

Benefits

Offers will be negotiated based on each candidate's qualifications.

Full-time roles are eligible for our comprehensive benefits program which includes:
Paid time offGenerous benefits package: health, dental, vision 401(k), etc.Employee Stock Purchase Plan
We are an Equal Opportunity Employer. We take pride in the diversity of our team and seek diversity in our applicants.
 ",usa,analyst
8,"('Data Analyst',)","('Dice',)","('United States',)","('Remote',)","('4 hours ago',)","('10 applicants',)","('See how you compare to 10 applicants. Retry Premium Free',)","('',)","
              Dice is the leading career destination for tech experts at every stage of their careers. Our client, Panamax Inc., is seeking the following. Apply via Dice today!

Note: Must be able to work on a W2 basis

Role: Data Analyst with Teradata Expertise

Location: REMOTE , Philadelphia, PA

Duration: Long Term

Skills: Teradata.

Education: Bachelors degree in Computer Science, Electrical/Electronic Engineering, Information Technology or another related field or Equivalent.

Experience: Minimum 3 to 5 Years

Travel: No
 provided by Dice


 ",usa,analyst
9,"('Data Analyst',)","('Brown & Brown Insurance',)","('Alabama, United States',)","('Remote',)","('6 days ago',)","('46 applicants',)","('See how you compare to 46 applicants. Retry Premium Free',)","('',)","
              Built on meritocracy, our unique company culture rewards self-starters and those who are committed to doing what is best for our customers.

We think of ourselves as a team, so we have teammates - not employees. We strive to attract people who are competitive, driven, and disciplined.

Brown & Brown Insurance is seeking an experienced professional to join us as a Data Analyst. This is a full time, benefits eligible remote position.

The Data Analyst will be responsible for supporting the national EBTech team in the accurate and timely movement of data between customer payroll/HCM and benefits administration software systems. Most of EBTech customers need to keep data synchronous between the benefits administration software we deploy and support, and the payroll/HCM software that the customer also utilizes. The successful completion of assigned tasks ensures that our customer’s employees receive access to, or are removed from, insurance coverage in a timely manner. In addition, chosen benefits often include payroll deductions for employees, so deductions calculated in benefits administration must be accurately reflected in payroll for proper processing. This is critical for EBTech’s ongoing success. As a Data Analyst, you are responsible for ensuring that tasks are completed on-time with high quality and timeliness. The Data Analyst will work closely with the Software Integration team and other team members in overseeing the completion of all assigned tasks.

Essential Duties And Functions
Upload payroll demographic data files into benefits administration software platforms to keep data in sync between systems. Analyze data errors/issues and complete corrections/updates in timely manner.Format, import and audit demographic and benefits enrollment data for new customer implementations of benefits administration software.Review payroll deduction files, including formatting and transmitting files post open enrollment to update customer payroll deductions.Assist with deduction file setup including data entry and testing scenarios to ensure data is correct and ready for transmission.Assist in payroll demographic data mapping – initial builds or updates as needed.Provide support and answer questions from clients, account managers, payroll vendors, and internal employees regarding payroll feeds for both demographic and deduction files. Learn applicable software tools.Track EDI feed status (sent/received) and error report receipt from carriers on a weekly basis.Follow organizational and line of business processes, protocols and quality standards in the development and deployment of solutions.Represent EBTech in a professional manner in every interaction with outside parties.Provide continuous feedback on implementation status for both new sites and renewals with regard to above stated tasks.Ensure timely and accurate completion of all assigned tasks.
Required
Minimum education required: Associate’s or Bachelor’s degree or equivalent experienceProficient with MS Office Suite, especially ExcelExperience working with personal computer database applicationsExceptional telephone demeanorAbility to maintain a high level of confidentiality
Preferred
One-Two years’ experience in an office environmentExperience with tasks similar to those outlined under essential duties above.
Target Pay

$23.00 USD Hourly

Benefits

Offers will be negotiated based on each candidate's qualifications.

Full-time roles are eligible for our comprehensive benefits program which includes:
Paid time offGenerous benefits package: health, dental, vision 401(k), etc.Employee Stock Purchase Plan
We are an Equal Opportunity Employer. We take pride in the diversity of our team and seek diversity in our applicants.
 ",usa,analyst
