,job_title,company_name,location,work_type,date_posted,applicant_count,level,company_info,job_description_lines,country,job
0,"('Data Scientist (Remote)',)","('Yelp',)","('Glasgow, Scotland, United Kingdom',)","('Remote',)","('4 days ago',)","('116 applicants',)","('See how you compare to 116 applicants. Retry Premium Free',)","('',)","
              At Yelp, it’s our mission to connect people with great local businesses. Yelp’s unique dataset contains billions of interactions between users and businesses around the globe, from a review of a coffee shop to requesting a repair quote with a photo of a leaky faucet. Data Scientists at Yelp work to make sense of these interactions to deliver impactful analyses and products to our users, business partners and the general public.

The Data Science & Analytics team performs analyses, builds models, and designs experiments that directly impact Yelp’s products and users. We are adept at tasks like modeling user preferences, inference from user and marketplace experiments, and generating insights about the health of local economies. With diverse backgrounds and expertise, we strive for learning and growth in a collaborative environment.

This remote opportunity requires you to be located in the United Kingdom.

We’d love to have you apply, even if you don’t feel you meet every single requirement in this posting. At Yelp, we’re looking for great people, not just those who simply check off all the boxes.

Where You Come In
Join a team of Data Scientists and Data Science Analysts that develop analytical frameworks and reliable measurement strategies for Yelp products.Design, execute, and analyze complex business and user experiments.Partner with other Data Scientists and Data Engineers to set the vision for and develop our experimentation platform. Devise and evaluate models for diverse business needs, such as identifying growth opportunities, estimating the impact of new features on our platforms, and personalizing the user experience.Proactively research and build ETL pipelines for product and marketplace metricsCommunicate key insights from analyses, experiments and data products to stakeholders.
What It Takes To Succeed
MS/PhD in quantitative field and a few years of industry experience in a senior quantitative role.Ability to apply statistical, analytical and technical expertise to product and business problems.Prior experience structuring and leading impactful data science projects independently.Oral and written communication skills to mentor colleagues, and work effectively with partners on engineering, product and business teams.Expertise in SQL, and R or Python for data analysis and platform development.Enthusiasm for building a culture of learning and development.
What You'll Get
Full responsibility for projects from day one, a collaborative team, and a dynamic work environment.Competitive salary with equity in the company, a pension scheme, and an optional employee stock purchase plan.25 days paid holiday (rising to 29 with service), plus one floating holiday.£150 monthly reimbursement to help cover remote working expenses.£75 caregiver reimbursement to support dependent care for families.Private health insurance, including dental and vision.Flexible working hours and meeting-free Wednesdays.Regular 3-day Hackathons, bi-weekly learning groups, and productivity spending to support and encourage your career growth. Opportunities to participate in digital events and conferences.£56 per month to use toward qualifying wellness expenses.Quarterly team offsites.
Yelp values diversity. We’re proud to be an equal opportunity employer and consider qualified applicants without regard to race, color, religion, sex, national origin, ancestry, age, genetic information, sexual orientation, gender identity, marital or family status, veteran status, medical condition, disability, or any other protected status.

Note: Yelp does not accept agency resumes. Please do not forward resumes to any recruiting alias or employee. Yelp is not responsible for any fees related to unsolicited resumes.
 ",uk,scientist
1,"('Data Scientist (Remote)',)","('Yelp',)","('Glasgow, Scotland, United Kingdom',)","('Remote',)","('4 days ago',)","('116 applicants',)","('See how you compare to 116 applicants. Retry Premium Free',)","('',)","
              At Yelp, it’s our mission to connect people with great local businesses. Yelp’s unique dataset contains billions of interactions between users and businesses around the globe, from a review of a coffee shop to requesting a repair quote with a photo of a leaky faucet. Data Scientists at Yelp work to make sense of these interactions to deliver impactful analyses and products to our users, business partners and the general public.

The Data Science & Analytics team performs analyses, builds models, and designs experiments that directly impact Yelp’s products and users. We are adept at tasks like modeling user preferences, inference from user and marketplace experiments, and generating insights about the health of local economies. With diverse backgrounds and expertise, we strive for learning and growth in a collaborative environment.

This remote opportunity requires you to be located in the United Kingdom.

We’d love to have you apply, even if you don’t feel you meet every single requirement in this posting. At Yelp, we’re looking for great people, not just those who simply check off all the boxes.

Where You Come In
Join a team of Data Scientists and Data Science Analysts that develop analytical frameworks and reliable measurement strategies for Yelp products.Design, execute, and analyze complex business and user experiments.Partner with other Data Scientists and Data Engineers to set the vision for and develop our experimentation platform. Devise and evaluate models for diverse business needs, such as identifying growth opportunities, estimating the impact of new features on our platforms, and personalizing the user experience.Proactively research and build ETL pipelines for product and marketplace metricsCommunicate key insights from analyses, experiments and data products to stakeholders.
What It Takes To Succeed
MS/PhD in quantitative field and a few years of industry experience in a senior quantitative role.Ability to apply statistical, analytical and technical expertise to product and business problems.Prior experience structuring and leading impactful data science projects independently.Oral and written communication skills to mentor colleagues, and work effectively with partners on engineering, product and business teams.Expertise in SQL, and R or Python for data analysis and platform development.Enthusiasm for building a culture of learning and development.
What You'll Get
Full responsibility for projects from day one, a collaborative team, and a dynamic work environment.Competitive salary with equity in the company, a pension scheme, and an optional employee stock purchase plan.25 days paid holiday (rising to 29 with service), plus one floating holiday.£150 monthly reimbursement to help cover remote working expenses.£75 caregiver reimbursement to support dependent care for families.Private health insurance, including dental and vision.Flexible working hours and meeting-free Wednesdays.Regular 3-day Hackathons, bi-weekly learning groups, and productivity spending to support and encourage your career growth. Opportunities to participate in digital events and conferences.£56 per month to use toward qualifying wellness expenses.Quarterly team offsites.
Yelp values diversity. We’re proud to be an equal opportunity employer and consider qualified applicants without regard to race, color, religion, sex, national origin, ancestry, age, genetic information, sexual orientation, gender identity, marital or family status, veteran status, medical condition, disability, or any other protected status.

Note: Yelp does not accept agency resumes. Please do not forward resumes to any recruiting alias or employee. Yelp is not responsible for any fees related to unsolicited resumes.
 ",uk,scientist
2,"('Data Scientist (Remote)',)","('Yelp',)","('Manchester, England, United Kingdom',)","('Remote',)","('4 days ago',)","('111 applicants',)","('See how you compare to 111 applicants. Retry Premium Free',)","('',)","
              At Yelp, it’s our mission to connect people with great local businesses. Yelp’s unique dataset contains billions of interactions between users and businesses around the globe, from a review of a coffee shop to requesting a repair quote with a photo of a leaky faucet. Data Scientists at Yelp work to make sense of these interactions to deliver impactful analyses and products to our users, business partners and the general public.

The Data Science & Analytics team performs analyses, builds models, and designs experiments that directly impact Yelp’s products and users. We are adept at tasks like modeling user preferences, inference from user and marketplace experiments, and generating insights about the health of local economies. With diverse backgrounds and expertise, we strive for learning and growth in a collaborative environment.

This remote opportunity requires you to be located in the United Kingdom.

We’d love to have you apply, even if you don’t feel you meet every single requirement in this posting. At Yelp, we’re looking for great people, not just those who simply check off all the boxes.

Where You Come In
Join a team of Data Scientists and Data Science Analysts that develop analytical frameworks and reliable measurement strategies for Yelp products.Design, execute, and analyze complex business and user experiments.Partner with other Data Scientists and Data Engineers to set the vision for and develop our experimentation platform. Devise and evaluate models for diverse business needs, such as identifying growth opportunities, estimating the impact of new features on our platforms, and personalizing the user experience.Proactively research and build ETL pipelines for product and marketplace metricsCommunicate key insights from analyses, experiments and data products to stakeholders.
What It Takes To Succeed
MS/PhD in quantitative field and a few years of industry experience in a senior quantitative role.Ability to apply statistical, analytical and technical expertise to product and business problems.Prior experience structuring and leading impactful data science projects independently.Oral and written communication skills to mentor colleagues, and work effectively with partners on engineering, product and business teams.Expertise in SQL, and R or Python for data analysis and platform development.Enthusiasm for building a culture of learning and development.
What You'll Get
Full responsibility for projects from day one, a collaborative team, and a dynamic work environment.Competitive salary with equity in the company, a pension scheme, and an optional employee stock purchase plan.25 days paid holiday (rising to 29 with service), plus one floating holiday.£150 monthly reimbursement to help cover remote working expenses.£75 caregiver reimbursement to support dependent care for families.Private health insurance, including dental and vision.Flexible working hours and meeting-free Wednesdays.Regular 3-day Hackathons, bi-weekly learning groups, and productivity spending to support and encourage your career growth. Opportunities to participate in digital events and conferences.£56 per month to use toward qualifying wellness expenses.Quarterly team offsites.
Yelp values diversity. We’re proud to be an equal opportunity employer and consider qualified applicants without regard to race, color, religion, sex, national origin, ancestry, age, genetic information, sexual orientation, gender identity, marital or family status, veteran status, medical condition, disability, or any other protected status.

Note: Yelp does not accept agency resumes. Please do not forward resumes to any recruiting alias or employee. Yelp is not responsible for any fees related to unsolicited resumes.
 ",uk,scientist
3,"('Data Scientist (Remote)',)","('Yelp',)","('Manchester, England, United Kingdom',)","('Remote',)","('4 days ago',)","('80 applicants',)","('See how you compare to 80 applicants. Retry Premium Free',)","('',)","
              At Yelp, it’s our mission to connect people with great local businesses. Yelp’s unique dataset contains billions of interactions between users and businesses around the globe, from a review of a coffee shop to requesting a repair quote with a photo of a leaky faucet. Data Scientists at Yelp work to make sense of these interactions to deliver impactful analyses and products to our users, business partners and the general public.

The Data Science & Analytics team performs analyses, builds models, and designs experiments that directly impact Yelp’s products and users. We are adept at tasks like modeling user preferences, inference from user and marketplace experiments, and generating insights about the health of local economies. With diverse backgrounds and expertise, we strive for learning and growth in a collaborative environment.

This remote opportunity requires you to be located in the United Kingdom.

We’d love to have you apply, even if you don’t feel you meet every single requirement in this posting. At Yelp, we’re looking for great people, not just those who simply check off all the boxes.

Where You Come In
Join a team of Data Scientists and Data Science Analysts that develop analytical frameworks and reliable measurement strategies for Yelp products.Design, execute, and analyze complex business and user experiments.Partner with other Data Scientists and Data Engineers to set the vision for and develop our experimentation platform. Devise and evaluate models for diverse business needs, such as identifying growth opportunities, estimating the impact of new features on our platforms, and personalizing the user experience.Proactively research and build ETL pipelines for product and marketplace metricsCommunicate key insights from analyses, experiments and data products to stakeholders.
What It Takes To Succeed
MS/PhD in quantitative field and a few years of industry experience in a senior quantitative role.Ability to apply statistical, analytical and technical expertise to product and business problems.Prior experience structuring and leading impactful data science projects independently.Oral and written communication skills to mentor colleagues, and work effectively with partners on engineering, product and business teams.Expertise in SQL, and R or Python for data analysis and platform development.Enthusiasm for building a culture of learning and development.
What You'll Get
Full responsibility for projects from day one, a collaborative team, and a dynamic work environment.Competitive salary with equity in the company, a pension scheme, and an optional employee stock purchase plan.25 days paid holiday (rising to 29 with service), plus one floating holiday.£150 monthly reimbursement to help cover remote working expenses.£75 caregiver reimbursement to support dependent care for families.Private health insurance, including dental and vision.Flexible working hours and meeting-free Wednesdays.Regular 3-day Hackathons, bi-weekly learning groups, and productivity spending to support and encourage your career growth. Opportunities to participate in digital events and conferences.£56 per month to use toward qualifying wellness expenses.Quarterly team offsites.
Yelp values diversity. We’re proud to be an equal opportunity employer and consider qualified applicants without regard to race, color, religion, sex, national origin, ancestry, age, genetic information, sexual orientation, gender identity, marital or family status, veteran status, medical condition, disability, or any other protected status.

Note: Yelp does not accept agency resumes. Please do not forward resumes to any recruiting alias or employee. Yelp is not responsible for any fees related to unsolicited resumes.
 ",uk,scientist
4,"('Data Scientist (Remote)',)","('Yelp',)","('Birmingham, England, United Kingdom',)","('Remote',)","('4 days ago',)","('88 applicants',)","('See how you compare to 88 applicants. Retry Premium Free',)","('',)","
              At Yelp, it’s our mission to connect people with great local businesses. Yelp’s unique dataset contains billions of interactions between users and businesses around the globe, from a review of a coffee shop to requesting a repair quote with a photo of a leaky faucet. Data Scientists at Yelp work to make sense of these interactions to deliver impactful analyses and products to our users, business partners and the general public.

The Data Science & Analytics team performs analyses, builds models, and designs experiments that directly impact Yelp’s products and users. We are adept at tasks like modeling user preferences, inference from user and marketplace experiments, and generating insights about the health of local economies. With diverse backgrounds and expertise, we strive for learning and growth in a collaborative environment.

This remote opportunity requires you to be located in the United Kingdom.

We’d love to have you apply, even if you don’t feel you meet every single requirement in this posting. At Yelp, we’re looking for great people, not just those who simply check off all the boxes.

Where You Come In
Join a team of Data Scientists and Data Science Analysts that develop analytical frameworks and reliable measurement strategies for Yelp products.Design, execute, and analyze complex business and user experiments.Partner with other Data Scientists and Data Engineers to set the vision for and develop our experimentation platform. Devise and evaluate models for diverse business needs, such as identifying growth opportunities, estimating the impact of new features on our platforms, and personalizing the user experience.Proactively research and build ETL pipelines for product and marketplace metricsCommunicate key insights from analyses, experiments and data products to stakeholders.
What It Takes To Succeed
MS/PhD in quantitative field and a few years of industry experience in a senior quantitative role.Ability to apply statistical, analytical and technical expertise to product and business problems.Prior experience structuring and leading impactful data science projects independently.Oral and written communication skills to mentor colleagues, and work effectively with partners on engineering, product and business teams.Expertise in SQL, and R or Python for data analysis and platform development.Enthusiasm for building a culture of learning and development.
What You'll Get
Full responsibility for projects from day one, a collaborative team, and a dynamic work environment.Competitive salary with equity in the company, a pension scheme, and an optional employee stock purchase plan.25 days paid holiday (rising to 29 with service), plus one floating holiday.£150 monthly reimbursement to help cover remote working expenses.£75 caregiver reimbursement to support dependent care for families.Private health insurance, including dental and vision.Flexible working hours and meeting-free Wednesdays.Regular 3-day Hackathons, bi-weekly learning groups, and productivity spending to support and encourage your career growth. Opportunities to participate in digital events and conferences.£56 per month to use toward qualifying wellness expenses.Quarterly team offsites.
Yelp values diversity. We’re proud to be an equal opportunity employer and consider qualified applicants without regard to race, color, religion, sex, national origin, ancestry, age, genetic information, sexual orientation, gender identity, marital or family status, veteran status, medical condition, disability, or any other protected status.

Note: Yelp does not accept agency resumes. Please do not forward resumes to any recruiting alias or employee. Yelp is not responsible for any fees related to unsolicited resumes.
 ",uk,scientist
5,"('Data Scientist (Remote)',)","('Yelp',)","('Leeds, England, United Kingdom',)","('Remote',)","('4 days ago',)","('80 applicants',)","('See how you compare to 80 applicants. Retry Premium Free',)","('',)","
              At Yelp, it’s our mission to connect people with great local businesses. Yelp’s unique dataset contains billions of interactions between users and businesses around the globe, from a review of a coffee shop to requesting a repair quote with a photo of a leaky faucet. Data Scientists at Yelp work to make sense of these interactions to deliver impactful analyses and products to our users, business partners and the general public.

The Data Science & Analytics team performs analyses, builds models, and designs experiments that directly impact Yelp’s products and users. We are adept at tasks like modeling user preferences, inference from user and marketplace experiments, and generating insights about the health of local economies. With diverse backgrounds and expertise, we strive for learning and growth in a collaborative environment.

This remote opportunity requires you to be located in the United Kingdom.

We’d love to have you apply, even if you don’t feel you meet every single requirement in this posting. At Yelp, we’re looking for great people, not just those who simply check off all the boxes.

Where You Come In
Join a team of Data Scientists and Data Science Analysts that develop analytical frameworks and reliable measurement strategies for Yelp products.Design, execute, and analyze complex business and user experiments.Partner with other Data Scientists and Data Engineers to set the vision for and develop our experimentation platform. Devise and evaluate models for diverse business needs, such as identifying growth opportunities, estimating the impact of new features on our platforms, and personalizing the user experience.Proactively research and build ETL pipelines for product and marketplace metricsCommunicate key insights from analyses, experiments and data products to stakeholders.
What It Takes To Succeed
MS/PhD in quantitative field and a few years of industry experience in a senior quantitative role.Ability to apply statistical, analytical and technical expertise to product and business problems.Prior experience structuring and leading impactful data science projects independently.Oral and written communication skills to mentor colleagues, and work effectively with partners on engineering, product and business teams.Expertise in SQL, and R or Python for data analysis and platform development.Enthusiasm for building a culture of learning and development.
What You'll Get
Full responsibility for projects from day one, a collaborative team, and a dynamic work environment.Competitive salary with equity in the company, a pension scheme, and an optional employee stock purchase plan.25 days paid holiday (rising to 29 with service), plus one floating holiday.£150 monthly reimbursement to help cover remote working expenses.£75 caregiver reimbursement to support dependent care for families.Private health insurance, including dental and vision.Flexible working hours and meeting-free Wednesdays.Regular 3-day Hackathons, bi-weekly learning groups, and productivity spending to support and encourage your career growth. Opportunities to participate in digital events and conferences.£56 per month to use toward qualifying wellness expenses.Quarterly team offsites.
Yelp values diversity. We’re proud to be an equal opportunity employer and consider qualified applicants without regard to race, color, religion, sex, national origin, ancestry, age, genetic information, sexual orientation, gender identity, marital or family status, veteran status, medical condition, disability, or any other protected status.

Note: Yelp does not accept agency resumes. Please do not forward resumes to any recruiting alias or employee. Yelp is not responsible for any fees related to unsolicited resumes.
 ",uk,scientist
6,"('Data Scientist - Growth',)","('Spotify',)","('London, England, United Kingdom',)","('Remote',)","('2 weeks ago',)",,"('',)","('',)","
              The Freemium R&D team oversees the entire user journey on Spotify and ensures we engage with people in innovative ways, every step of the way. Our team grows Spotify’s audience by finding future listeners around the world and delivering the right value to them, at the right time. With research, product development, product design, engineering, and marketing all collaborating in one organization, we’re able to quickly create meaningful features and services for millions of people around the world, resulting in joyful, long-lasting relationships with Spotify.

We're looking for a Data Scientist to join our Product Insights team to support strategic decision-making for user growth in all emerging markets around the world.

What You'll Do
Work closely with data scientists, user researchers, product managers, designers and engineersEstablish learning agendas, measurement plans and success metrics in close coordination with contributing teams and partnersAnalyze large quantities of data to extract impactful insights to help inform senior leadership and drive strategic, product and business decisionsDesign and facilitate experimentation both on and off platformCommunicate insights and recommendations through clear visualizations and presentations

Who You Are
Have at least 3+ years of experience in a similar data scientist role and a degree in science, computer science, statistics, economics, mathematics, or similar quantitative fieldPossess the technical competence to perform analytics on very large datasets, including coding skills (such as Python or R) and databases (such as SQL). Statistical competence such as regression modeling, A/B testing, significance testing etc.Familiar with qualitative research methods, utilizing data from interviews, surveys and co-creation activities to synthesize with quantitative dataAble to deliver on loosely defined problems to assess research questions and come up with relevant answers and actionable insights to guide decisionsYou are a communicative person that values building strong relationships with colleagues and partners and have the ability to explain complex topics in simple terms

Where You'll Be
We are a distributed workforce enabling our band members to find a work mode that is best for them!Where in the world? For this role, it can be within the EMEA region in which we have a work locationPrefer an office to work from home instead? Not a problem! We have plenty of options for your working preferences. Find more information about our Work From Anywhere options here.Working hours? We operate within the Central European time zone for collaborationWe ask that our team members be located within Greenwich Mean time zone, Central European time zone, or Eastern European standard time zone for the purposes of our collaboration hours 

Spotify is an equal opportunity employer. You are welcome at Spotify for who you are, no matter where you come from, what you look like, or what’s playing in your headphones. Our platform is for everyone, and so is our workplace. The more voices we have represented and amplified in our business, the more we will all thrive, contribute, and be forward-thinking! So bring us your personal experience, your perspectives, and your background. It’s in our differences that we will find the power to keep revolutionizing the way the world listens.

Spotify transformed music listening forever when we launched in 2008. Our mission is to unlock the potential of human creativity by giving a million creative artists the opportunity to live off their art and billions of fans the chance to enjoy and be passionate about these creators. Everything we do is driven by our love for music and podcasting. Today, we are the world’s most popular audio streaming subscription service.

Global COVID and Vaccination Disclosure

Spotify is committed to safety and well-being of our employees, vendors and clients. We are following regional guidelines mandating vaccination and testing requirements, including those requiring vaccinations and testing for in-person roles and event attendance. For the US, we have mandated that all employees and contractors be fully vaccinated in order to work in our offices and externally with any third-parties. For all other locations, we strongly encourage our employees to get vaccinated and also follow local COVID and safety protocols.

 ",uk,scientist
7,"('Data Scientist - Growth Strategy',)","('Spotify',)","('London, England, United Kingdom',)","('Remote',)","('2 weeks ago',)",,"('',)","('',)","
              Are you a talented data scientist who is eager to dig into the data here at Spotify, derive insights, and help us perfect our strategy for our future global growth?

We are looking for a Data Scientist to join the Growth & Business Intelligence team within the Freemium Business Unit. In the role, you will work along a team of data scientists, analysts, and strategists to analyse on-platform data, external data sources, and new consumer / user research to identify insights that leadership will use to craft and optimize Spotify’s user growth strategy. Your analysis will help determine how we invest to grow our subscribers and monthly active users over the long term in many markets around the world.

What You'll Do
Perform analyses on large global sets of data to extract impactful insights that will help our team and senior leadership understand the state of our user growth around the world and craft growth strategies to help us grow beyond 400 million usersPartner closely with other teams to identify and assess fundamental performance drivers that underpin Spotify’s user growthCommunicate insights and recommendations through clear visualizations and presentations appropriately designed for executive level audiencesBe an advocate for data-informed decision making, making recommendations about the impacts of our various user growth efforts around the worldWork as part of a team located largely across Stockholm, London, and New York

Who You Are
You are highly passionate about the future of technology, entertainment and digital media, you have an informed point of view on where the industry is headed, and you want to play a role in shaping that future at one of the few globally scaled pure-play digital media and technology companiesYour past work experiences have provided you with a deep understanding of numbers, a strong business sense for business performance drivers, and the skill to craft compelling and clear narratives using those data and insightsThe skills to tackle very loosely defined challenges, working both independently and as part of a cross functional analytics and strategy teamComfort analyzing large datasets with statistical rigor using tools such as SQL, Python, R, SAS, Stata, or other programming languagesA bias toward delivering actionable insights quickly rather than constructing the most technically complex modelYou have at least 3+ years of experience in a similar data science or analytics role, ideally in a consumer-facing company or a technology company

Where You'll Be
We are a distributed workforce enabling our band members to find a work mode that is best for them!Where in the world? For this role, it can be within the EMEA region in which we have a work locationPrefer an office to work from home instead? Not a problem! We have plenty of options for your working preferences. Find more information about our Work From Anywhere options here.Working hours? We operate within the Central European time zone for collaborationWe ask that our team members be located within Greenwich Mean time zone, Central European time zone, or Eastern European standard time zone for the purposes of our collaboration hours

Spotify is an equal opportunity employer. You are welcome at Spotify for who you are, no matter where you come from, what you look like, or what’s playing in your headphones. Our platform is for everyone, and so is our workplace. The more voices we have represented and amplified in our business, the more we will all thrive, contribute, and be forward-thinking! So bring us your personal experience, your perspectives, and your background. It’s in our differences that we will find the power to keep revolutionizing the way the world listens.

Spotify transformed music listening forever when we launched in 2008. Our mission is to unlock the potential of human creativity by giving a million creative artists the opportunity to live off their art and billions of fans the chance to enjoy and be passionate about these creators. Everything we do is driven by our love for music and podcasting. Today, we are the world’s most popular audio streaming subscription service.

Global COVID and Vaccination Disclosure

Spotify is committed to safety and well-being of our employees, vendors and clients. We are following regional guidelines mandating vaccination and testing requirements, including those requiring vaccinations and testing for in-person roles and event attendance. For the US, we have mandated that all employees and contractors be fully vaccinated in order to work in our offices and externally with any third-parties. For all other locations, we strongly encourage our employees to get vaccinated and also follow local COVID and safety protocols.

 ",uk,scientist
8,"('Data Scientist (Natural Language Processing)',)","('Frontiers',)","('Northern Ireland, United Kingdom',)","('Remote',)","('1 week ago',)","('40 applicants',)","('5 school alumni',)","('See how you compare to 40 applicants. Retry Premium Free',)","
We are on a mission to make science open so everyone can live healthy lives on a healthy planet

Who We Are

Frontiers is an award-winning open science platform and leading open access scholarly publisher.

We are one of the largest and most cited publishers globally. To date, our 200,000 freely available research articles have received more than 1 billion views and downloads and 2 million citations. Our journals span science, health, humanities and social sciences, engineering, and sustainability. And we continue to expand into new academic disciplines so more researchers can publish open access.

Be part of the publishing revolution and help us transform the way research is published, evaluated, and communicated to the world.

Job Role

We are looking for a Data Scientist (Natural Language Processing) who can work on production-ready Artificial Intelligence (AI) to support our industry-leading AI publishing platform.

You will work in a department of Data Scientists and Machine Learning Engineers to develop cutting edge solutions with a focus on Natural Language Processing (NLP) to help us evolve our state-of-the-art AI Review Assistant (AIRA).

Key Responsibilities
Development, optimization and evaluation of ML models and algorithmsTechnological review of data science solutions and communication to non-technical stakeholdersProactive identification of opportunities for potential AI products within FrontiersEffective collaboration with Product Managers, ML Engineers, Software and Data Engineers to design scalable state of the art ML models

Requirements
Proficiency in PythonExperience with SQL and big data platforms (e.g. Spark, Azure Databricks)Candidates are encouraged to share portfolio of NLP projects

Familiarity with:
Text pre-processing (e.g. lemmatization, stemming, stopwords, normalization)Word and document embeddingsLanguage models, BERT and other transformer modelsExperience with K-means algorithmsDimensionality reduction techniques and Bayesian techniquesNLP packages (SpaCy, AllenNLP, HuggingFace transformers, NLTK)

Benefits

With more than 50 nationalities represented in our global team, you will work regularly with teammates in other countries, and with our community of researchers, editors, and authors from around the globe.

Our mission to create solutions for healthy lives also extends to the working environment we provide for our employees.

This includes:

100% remote working

Employees now have the flexibility to choose where they want to work, with remote working available on a part- or full-time basis (not applicable to some Business Support jobs due to nature of role).

Learning and development

All employees have access to LinkedIn Learning (and Pluralsight for our technology team), an annual personal learning budget, and dedicated L&D time.

Wellbeing

We offer free online yoga classes, an employee assistance plan, access to the Headspace app, and four wellbeing days on top of your annual leave allowance.

Volunteering opportunities

Employees can dedicate three days each year to volunteer for a personal cause or through our volunteering partner platform, Alaya.

Frontiers actively embraces diversity and is a safe and welcoming workplace. Recruitment is free from discrimination – including based on race, national or ethnic origin, age, religion, disability, sex, gender identity or sexual orientation. With over 600 employees from more than 50 different nations, our diversity creates vibrant teams and constantly challenges us to appreciate multiple perspectives.
 ",uk,scientist
9,"('Data Scientist',)","('Yelp',)","('London, England, United Kingdom',)","('Remote',)","('4 days ago',)","('169 applicants',)","('See how you compare to 169 applicants. Retry Premium Free',)","('',)","
              At Yelp, it’s our mission to connect people with great local businesses. Yelp’s unique dataset contains billions of interactions between users and businesses around the globe, from a review of a coffee shop to requesting a repair quote with a photo of a leaky faucet. Data Scientists at Yelp work to make sense of these interactions to deliver impactful analyses and products to our users, business partners and the general public.

The Data Science & Analytics team performs analyses, builds models, and designs experiments that directly impact Yelp’s products and users. We are adept at tasks like modeling user preferences, inference from user and marketplace experiments, and generating insights about the health of local economies. With diverse backgrounds and expertise, we strive for learning and growth in a collaborative environment.

This opportunity requires you to be located in the United Kingdom.

We’d love to have you apply, even if you don’t feel you meet every single requirement in this posting. At Yelp, we’re looking for great people, not just those who simply check off all the boxes.

Where You Come In
Join a team of Data Scientists and Data Science Analysts that develop analytical frameworks and reliable measurement strategies for Yelp products.Design, execute, and analyze complex business and user experiments.Partner with other Data Scientists and Data Engineers to set the vision for and develop our experimentation platform. Devise and evaluate models for diverse business needs, such as identifying growth opportunities, estimating the impact of new features on our platforms, and personalizing the user experience.Proactively research and build ETL pipelines for product and marketplace metricsCommunicate key insights from analyses, experiments and data products to stakeholders.
What It Takes To Succeed
MS/PhD in quantitative field and a few years of industry experience in a senior quantitative role.Ability to apply statistical, analytical and technical expertise to product and business problems.Prior experience structuring and leading impactful data science projects independently.Oral and written communication skills to mentor colleagues, and work effectively with partners on engineering, product and business teams.Expertise in SQL, and R or Python for data analysis and platform development.Enthusiasm for building a culture of learning and development.
What You'll Get
Full responsibility for projects from day one, a collaborative team, and a dynamic work environment.Competitive salary with equity in the company, a pension scheme, and an optional employee stock purchase plan.25 days paid holiday (rising to 29 with service), plus one floating holiday.£150 monthly reimbursement to help cover remote working expenses.£75 caregiver reimbursement to support dependent care for families.Private health insurance, including dental and vision.Flexible working hours and meeting-free Wednesdays.Regular 3-day Hackathons, bi-weekly learning groups, and productivity spending to support and encourage your career growth. Opportunities to participate in digital events and conferences.Public transportation season ticket loan.£56 per month to use toward qualifying wellness expenses.Central location, a fully stocked kitchen, adjustable sitting/standing desks, quarterly offsites, locally roasted coffee, happy hours, and more! 
Yelp values diversity. We’re proud to be an equal opportunity employer and consider qualified applicants without regard to race, color, religion, sex, national origin, ancestry, age, genetic information, sexual orientation, gender identity, marital or family status, veteran status, medical condition, disability, or any other protected status.

Note: Yelp does not accept agency resumes. Please do not forward resumes to any recruiting alias or employee. Yelp is not responsible for any fees related to unsolicited resumes.
 ",uk,scientist
