,job_title,company_name,location,work_type,date_posted,applicant_count,level,company_info,job_description_lines,country,job
0,"('Entry Level Data Scientist',)","('Dice',)","('Texas City, TX',)","('Remote',)","('1 month ago',)","('78 applicants',)","('See how you compare to 78 applicants. Retry Premium Free',)","('',)","
              Dice is the leading career destination for tech experts at every stage of their careers. Our client, Tekgence, is seeking the following. Apply via Dice today!

Position: Entry Level Data Scientist 

Location: Initial Remote Later Onsite or Hybrid

Responsibilities
A Data Scientist’s job is to use data to help businesses make decisions. Here are some common duties and responsibilities of a Data Scientist:Collecting data through means such as analyzing business results or by setting up and managing new studiesTransferring data into a new format to make it more appropriate for analysisCreating new, experimental frameworks to collect dataBuilding tools to automate data collectionSearching through large data sets for usable informationCreating reports and presentations for business usesCorrelating similar data to find actionable results

Qualifications
Data Scientists must possess skills in a few key areas, such as:Exceptional technical writing skillsAbility to communicate complex data in a simple, actionable wayAbility to visualize data in the most effective way possible for a given project or studyAnalytical and problem-solving skillsExperience with machine learning and AIFamiliarity with data management toolsAbility to work independently and with team members from different backgroundsExcellent attention to detail - provided by Dice

 ",usa,scientist
1,"('Entry Level Data Scientist',)","('Dice',)","('Texas City, TX',)","('Remote',)","('1 month ago',)","('78 applicants',)","('See how you compare to 78 applicants. Retry Premium Free',)","('',)","
              Dice is the leading career destination for tech experts at every stage of their careers. Our client, Tekgence, is seeking the following. Apply via Dice today!

Position: Entry Level Data Scientist 

Location: Initial Remote Later Onsite or Hybrid

Responsibilities
A Data Scientist’s job is to use data to help businesses make decisions. Here are some common duties and responsibilities of a Data Scientist:Collecting data through means such as analyzing business results or by setting up and managing new studiesTransferring data into a new format to make it more appropriate for analysisCreating new, experimental frameworks to collect dataBuilding tools to automate data collectionSearching through large data sets for usable informationCreating reports and presentations for business usesCorrelating similar data to find actionable results

Qualifications
Data Scientists must possess skills in a few key areas, such as:Exceptional technical writing skillsAbility to communicate complex data in a simple, actionable wayAbility to visualize data in the most effective way possible for a given project or studyAnalytical and problem-solving skillsExperience with machine learning and AIFamiliarity with data management toolsAbility to work independently and with team members from different backgroundsExcellent attention to detail - provided by Dice

 ",usa,scientist
2,"('Data Engineer__100% Remote',)","('Dice',)","('United States',)","('Remote',)","('7 hours ago',)","('161 applicants',)","('See how you compare to 161 applicants. Retry Premium Free',)","('',)","
              Dice is the leading career destination for tech experts at every stage of their careers. Our client, Hirex, is seeking the following. Apply via Dice today!

Greetings,

Let me know if you are interested in this role.

Title: Data Engineer- AWS

100% Remote

Fulltime/Direct Hire

Skills Required: AWS, Data Governance, Data Quality, Data Flows

Please share me your resume at
 provided by Dice


 ",usa,scientist
3,"('Mesa Graduate Test Prep Expert',)","('Varsity Tutors, a Nerdy Company',)","('Mesa, AZ',)","('Remote',)","('4 days ago',)",,"('Actively recruiting',)","('Apply',)","
Mesa Graduate Test Prep Expert Jobs

The Varsity Tutors platform has thousands of students looking for online Graduate Test Prep experts nationally and in Mesa. As an expert who uses the Varsity Tutors platform, you can earn good money and choose your own schedule while making a fundamental difference in the lives of your students.

Why join our platform?
Enjoy competitive rates and get paid up to 2x per week.Teach as much or as little as you want.Share your knowledge with large groups of students.Instruct online (i.e. “work remotely”) and set your own hours and schedule.We collect payment from the customers, so all you have to do is invoice the session.
What We Look For In a Expert
You have excellent communication skills and a friendly, approachable personality.You can show subject-matter expertise in Graduate Test Prep.You have excellent presentation skills and are comfortable interacting with groups.
Discover all the ways you can reach students through the online platform:
1-on-1 Online Tutoring: connect with an individual student for a highly personalized learning experience.Small Group Classes: meet with small groups (typically 7-9 students) for a more collaborative learning experience.VT+ Classes: teach groups of 25-30 students anything from math fundamentals to video game design.Large Live Classes: share your knowledge with hundreds of students at a time.School@Home: provide support for homeschooling parents with 1-on-1 Online Tutoring and Small Group Classes.Instant Tutoring: accept subject specific, on-demand tutoring sessions whenever you’d like.
About Varsity Tutors And Large Group Instruction

Our mission is to transform the way people learn. We do this by leveraging advanced technology, AI, and the latest in learning science to facilitate a personalized learning experience. Through large group instruction, experts are able to share their knowledge with hundreds of students at a time and facilitate interaction amongst the students. We believe our thoughtful approach to matching students with the right experts can improve outcomes, and we look forward to connecting you with students hungry to learn.
 ",usa,scientist
4,"('Data Admin / Process Analyst',)","('Dice',)","('United States',)","('Remote',)","('7 hours ago',)","('115 applicants',)","('See how you compare to 115 applicants. Retry Premium Free',)","('',)","
              Dice is the leading career destination for tech experts at every stage of their careers. Our client, VIVA USA INC, is seeking the following. Apply via Dice today!

Title: Data Admin / Process Analyst

Mandatory skills:

customer service,

data analysis,

software applications, Microsoft Word, Microsoft Excel,

VoIP industry, LNP processes,

porting, Validate numbers porting,

Voice resources, testing resources,

inventory, TEMS, expense DB

Description:

Responsibilities:

Responsible for the overall management/troubleshooting of port calls with the client Voice and testing resources during scheduled test and turn up calls.

Validate numbers porting and new to be activated on the carrier test and turn up invites to the client orders

Update inventory and all tracking due dates in TEMS (inventory and expense DB).

Skills and qualifications:

Candidate must have: customer service, problem-solving, documentation, listening, phone, conflict resolution, data analysis, critical-thinking, time management, organization and troubleshooting skills.

Candidate must be pro-active and quality focused.

Ability to handle and prioritize multiple tasks while maintaining attention to detail.

Ability to work effectively in a team environment and independently.

Ability to escalate with carriers and follow-up for issue resolution.

Attention to detail.

Ability to use a personal computer and basic software applications, for example, Microsoft Word, Microsoft Excel

Working knowledge of the VoIP industry with strong understanding of LNP processes.

Prior experience in porting

Note :

Work Schedule: Example: Mon-Fri/8-5pm Mon-Thurs (10-hour day) 7-hour port day starting @ 9am, ending 4pm central.

Remote .

VIVA USA is an equal opportunity employer and is committed to maintaining a professional working environment that is free from discrimination and unlawful harassment. The Management, contractors, and staff of VIVA USA shall respect others without regard to race, sex, religion, age, color, creed, national or ethnic origin, physical, mental or sensory disability, marital status, sexual orientation, or status as a Vietnam-era, recently separated veteran, Active war time or campaign badge veteran, Armed forces service medal veteran, or disabled veteran. Please contact us at for any complaints, comments and suggestions.

Contact Details :

VIVA USA INC.

3601 Algonquin Road, Suite 425

Rolling Meadows, IL 60008

| http://www.viva-it.com
 provided by Dice


 ",usa,scientist
5,"('Remote Data Analysis Tutor',)","('Varsity Tutors, a Nerdy Company',)","('United States',)","('Remote',)","('4 days ago',)","('2 applicants',)","('See recent hiring trends for Varsity Tutors - JW. Retry Premium Free',)","('',)","
Remote Data Analysis Tutor Jobs

The Varsity Tutors platform has thousands of students looking for online Data Analysis tutors nationally. As a tutor who uses the Varsity Tutors platform, you can earn good money, choose your own hours, and truly make a difference in the lives of your students.

Why join our platform?
Enjoy competitive rates and get paid up to 2x per week.Set your own schedule and choose to tutor as much or as little as you want.Get paired with students best-suited to your teaching style and preferences (from thousands of potential clients).Tutor online (i.e. “work remotely”) using our purpose-built Live Learning Platform.Students can take adaptive assessments through the platform and share results to help you decide where to focus.
What We Look For In a Tutor
You have excellent communication skills and a friendly, approachable personality.You can show subject-matter expertise in Data Analysis.You have the ability to personalize lessons for each student.
Discover all the ways you can reach students through the online platform:
Explore options like 1-on-1 Online Tutoring, Small Group Classes, VT+ Classes, Large Live Classes, School@Home, and Instant Tutoring. 
About Varsity Tutors

Our mission is to transform the way people learn. We do this by leveraging advanced technology, AI, and the latest in learning science to facilitate a personalized learning experience.

Please note: Varsity Tutors does not contract in: Alaska, California, Delaware, Hawaii, Maine, New Hampshire, North Dakota, Vermont, West Virginia or Puerto Rico.
 ",usa,scientist
6,"('Data Analyst - Fiduciary/Trust Support (Remote)',)","('U.S. Bank',)","('United States',)","('Remote',)","('5 days ago',)","('186 applicants',)","('2 school alumni',)","('See how you compare to 186 applicants. Retry Premium Free',)","
              At U.S. Bank, we're passionate about helping customers and the communities where we live and work. The fifth-largest bank in the United States, we’re one of the country's most respected, innovative and successful financial institutions. U.S. Bank is an equal opportunity employer committed to creating a diverse workforce. We consider all qualified applicants without regard to race, religion, color, sex, national origin, age, sexual orientation, gender identity, disability or veteran status, among other factors.

Job Description

The Data Analyst will support Wealth Management & Investment Services' (WM&IS) Compliance program through second line of defense monitoring and reporting of trust activities. This position will assist and actively participate in the monitoring program, including risk identification, validation, resolution, and reporting.

Primary Responsibilities
The creation and development of monitoring reports using multiple applications and systems; monitoring the progress and tracking resolution of activitiesProvide credible challenge for open issues to ensure the actions taken properly address the identified risks and comply with the standard controls, guidelines, and procedureValidate populations of desired activity for accuracy, completeness, and due dates; and prepare report and metrics for management and committees Identify gaps and effectuate changes to the program, when necessary.Partner with multiple trust business line teams and other risk and operational teamsProvide compliance support to assist with policy and procedures related to the monitoring and oversight programBack up and support for special projects and compliance initiatives
Basic Qualifications
Bachelor's degree, or equivalent work experienceFive to seven years of applicable experience
Preferred Skills/Experience
Extensive knowledge of SEI, Access databases, SQL, Excel and Sharepoint Background in fiduciary or trustAdvanced understanding of the business line's operations, products/services, systems, and associated risks/controlsKnowledge of Compliance and Risk competenciesStrong process facilitation, project management, and analytical skillsExcellent presentation, interpersonal, written and verbal communication skills
Tag: INDMO

If there’s anything we can do to accommodate a disability during any portion of the application or hiring process, please refer to our disability accommodations for applicants.

Benefits

Take care of yourself and your family with U.S. Bank employee benefits. We know that healthy employees are happy employees, and we believe that work/life balance should be easy to achieve. That's why we share the cost of benefits and offer a variety of programs, resources and support you need to bring your full self to work and stay present and committed to the people who matter most - your family.

Learn all about U.S. Bank employee benefits, including tuition reimbursement, retirement plans and more, by visiting careers.usbank.com.

EEO is the Law

Applicants can learn more about the company’s status as an equal opportunity employer by viewing the federal EEO is the Law poster.

E-Verify

U.S. Bank participates in the U.S. Department of Homeland Security E-Verify program in all facilities located in the United States and certain U.S. territories. The E-Verify program is an Internet-based employment eligibility verification system operated by the U.S. Citizenship and Immigration Services. Learn more about the E-Verify program.

Salary range reflected is an estimate of base pay and is for the primary location. Base pay range may vary if an offer is made for work in a different location. Pay Range: $69,615.00 - $81,900.00 - $90,090.00

Due to legal requirements, U.S. Bank requires that the successful candidate hired for some positions be fully-vaccinated for COVID-19, absent being granted an accommodation due to a medical condition, pregnancy, or sincerely held religious belief or other legally required exemption. For these positions, as part of the conditional offer of employment, the successful candidate will be asked to provide proof of vaccination or approval for an accommodation or exemption upon hire.

U.S. Bank will consider qualified applicants with criminal histories in a manner consistent with the San Francisco Fair Chance Ordinance.
 ",usa,scientist
7,"('Data Analyst - Fiduciary/Trust Support (Remote)',)","('U.S. Bank',)","('United States',)","('Remote',)","('4 days ago',)","('65 applicants',)","('2 school alumni',)","('See how you compare to 65 applicants. Retry Premium Free',)","
              At U.S. Bank, we're passionate about helping customers and the communities where we live and work. The fifth-largest bank in the United States, we’re one of the country's most respected, innovative and successful financial institutions. U.S. Bank is an equal opportunity employer committed to creating a diverse workforce. We consider all qualified applicants without regard to race, religion, color, sex, national origin, age, sexual orientation, gender identity, disability or veteran status, among other factors.

Job Description

The Data Analyst will support Wealth Management & Investment Services' (WM&IS) Compliance program through second line of defense monitoring and reporting of trust activities. This position will assist and actively participate in the monitoring program, including risk identification, validation, resolution, and reporting.

Primary Responsibilities
The creation and development of monitoring reports using multiple applications and systems; monitoring the progress and tracking resolution of activitiesProvide credible challenge for open issues to ensure the actions taken properly address the identified risks and comply with the standard controls, guidelines, and procedureValidate populations of desired activity for accuracy, completeness, and due dates; and prepare report and metrics for management and committees Identify gaps and effectuate changes to the program, when necessary.Partner with multiple trust business line teams and other risk and operational teamsProvide compliance support to assist with policy and procedures related to the monitoring and oversight programBack up and support for special projects and compliance initiatives
Basic Qualifications
Bachelor's degree, or equivalent work experienceFive to seven years of applicable experience
Preferred Skills/Experience
Extensive knowledge of SEI, Access databases, SQL, Excel and Sharepoint Background in fiduciary or trustAdvanced understanding of the business line's operations, products/services, systems, and associated risks/controlsKnowledge of Compliance and Risk competenciesStrong process facilitation, project management, and analytical skillsExcellent presentation, interpersonal, written and verbal communication skills
Tag: INDMO

If there’s anything we can do to accommodate a disability during any portion of the application or hiring process, please refer to our disability accommodations for applicants.

Benefits

Take care of yourself and your family with U.S. Bank employee benefits. We know that healthy employees are happy employees, and we believe that work/life balance should be easy to achieve. That's why we share the cost of benefits and offer a variety of programs, resources and support you need to bring your full self to work and stay present and committed to the people who matter most - your family.

Learn all about U.S. Bank employee benefits, including tuition reimbursement, retirement plans and more, by visiting careers.usbank.com.

EEO is the Law

Applicants can learn more about the company’s status as an equal opportunity employer by viewing the federal EEO is the Law poster.

E-Verify

U.S. Bank participates in the U.S. Department of Homeland Security E-Verify program in all facilities located in the United States and certain U.S. territories. The E-Verify program is an Internet-based employment eligibility verification system operated by the U.S. Citizenship and Immigration Services. Learn more about the E-Verify program.

Salary range reflected is an estimate of base pay and is for the primary location. Base pay range may vary if an offer is made for work in a different location. Pay Range: $69,615.00 - $81,900.00 - $90,090.00

Due to legal requirements, U.S. Bank requires that the successful candidate hired for some positions be fully-vaccinated for COVID-19, absent being granted an accommodation due to a medical condition, pregnancy, or sincerely held religious belief or other legally required exemption. For these positions, as part of the conditional offer of employment, the successful candidate will be asked to provide proof of vaccination or approval for an accommodation or exemption upon hire.

U.S. Bank will consider qualified applicants with criminal histories in a manner consistent with the San Francisco Fair Chance Ordinance.
 ",usa,scientist
8,"('Entry-Level Software/Data Specialist',)","('Antea Group USA',)","('United States',)","('Remote',)","('4 weeks ago',)","('26 applicants',)","('See how you compare to 26 applicants. Retry Premium Free',)","('',)","
Antea USA, Inc. (Antea®Group) is looking for an Entry-Level Software/Data Specialist to support our Technology Solutions and Operations (TSO) Team. This is a full-time remote opportunity that is immediately available.

In this role you will provide day-to-day support to the TSO Team and Antea Group employees in the use, functionality, and understanding of our Salesforce and FinancialForce platforms. The successful candidate will administer these systems, including updates, enhancements, building reports, managing dashboards, workflows, and security through effective management of administrative tasks associated with these systems.

We are looking for a process-driven individual who enjoys the challenges of working in a demanding environment. The ideal candidate must be detail oriented, and possess strong organizational, written, and verbal communication skills. The candidate must have excellent skills working in a virtual environment given the different geographic locations of Antea Group employees. Experience with Office365, including use of Teams, is a must and experience with Salesforce and FinancialForce is a plus.

Essential Functions
Analyze, diagnose, and resolve issues that occur within SalesforceHelping to manage, prioritize, and escalate internal support requestsPerforming User Acceptance Testing for both new and ongoing development projectsExecuting operational functions such as the set-up of new users and administration of access rights.Update training materialReport and data model management using Salesforce and Qlik.Validation reporting and data analysis. Salesforce and FinancialForce report generation for users, including building custom report types and reports to meet business requirements.Lead FinancialForce and Salesforce new release testing, including developing test scripts, identifying bugs, and ensuring new releases are compatible with current configuration. New features and functionality testing. 

Qualifications
Bachelor’s degree in Computer Science, Mathematics, Business Administration, or related field.Have 1-2+ years working with software preferably supporting end-users in technical troubleshooting or customer serviceHave education or experience in systems, databases, and administration toolsPossess strong communication skills to communicate effectively with internal/external developers at a technical level, as well as front line employees with no technical background Proven experience working with a team and proactively supporting each member.Skilled with Office365 including Teams.Self-starter with excellent time management, multi-tasking, and organizational skills General understanding of the world of environmental, health & safety and sustainability consultingAuthorization to work in the United States without sponsorship, now or in the future.Compliance with any client requirements, including but not limited to COVID-19 vaccine mandates.Potential employees must pass a company-paid drug-screen and have a valid driver's license with a good driving record. 

Physical Requirements / Work Environment - Maintain physical condition appropriate to the performance of assigned duties and responsibilities, which may include the following:
Sedentary to light work (typical office or administrative work). Frequently required to stand, sit and walk for extended periods of time.Occasional lifting and carrying of low (under 25lbs) to moderate (25-49lbs) weight objects. Repetitive motions: substantial movements (motions) of the wrists, hands, and/or fingers (including reaching). Subject to inside environmental conditions (protection from weather conditions but not necessarily from temperature change). Operation of a motor vehicle.

Antea Group offers excellent benefits to its full-time and part-time employees including, but not limited to: medical, dental, and vision plans; 401(k); disability; life insurance; paid time off; and a comprehensive wellness program.

Antea USA, Inc. (Antea®Group) is an EEO/AA Employer

Minority/Female/Disabled/Veteran/Sexual Orientation/Gender Identity and other protected categories

NO RECRUITERS PLEASE

NO VISA SPONSORSHIP AT THIS TIME
 ",usa,scientist
9,"('Glendale Data Analysis Tutor',)","('Varsity Tutors, a Nerdy Company',)","('Glendale, AZ',)","('Remote',)","('4 days ago',)",,"('Actively recruiting',)","('Apply',)","
Glendale Data Analysis Tutor Jobs

The Varsity Tutors platform has thousands of students looking for online Data Analysis tutors nationally and in Glendale. As a tutor who uses the Varsity Tutors platform, you can earn good money, choose your own hours, and truly make a difference in the lives of your students.

Why join our platform?
Enjoy competitive rates and get paid 2x per week.Choose to tutor as much or as little as you want.Set your own hours and schedule.Get paired with students best-suited to your teaching style and preferences (from thousands of potential clients).Tutor online (i.e. “work remotely”) using our purpose-built Live Learning Platform.Students can take adaptive assessments through the platform and share results to help you decide where to focus.We collect payment from the customers, so all you have to do is invoice the session.
What We Look For In a Tutor
You have excellent communication skills and a friendly, approachable personality.You can show subject-matter expertise in Data Analysis.You have the ability to personalize lessons for each student.
Discover all the ways you can reach students through the online platform:
1-on-1 Online Tutoring: connect with an individual student for a highly personalized learning experience.Small Group Classes: meet with small groups (typically 7-9 students) for a more collaborative learning experience.VT+ Classes: teach groups of 25-30 students anything from math fundamentals to video game design.Large Live Classes: share your knowledge with hundreds of students at a time.School@Home: provide support for homeschooling parents with 1-on-1 Online Tutoring and Small Group Classes.Instant Tutoring: accept subject specific, on-demand tutoring sessions whenever you’d like.
About Varsity Tutors And 1-on-1 Online Tutoring

Our mission is to transform the way people learn. We do this by leveraging advanced technology, AI, and the latest in learning science to facilitate a personalized learning experience. With 1-on-1 Online Tutoring, individual students are connected with tutors for a highly personalized learning experience. We believe our thoughtful approach to matching students with the right tutors can improve outcomes, and we look forward to connecting you with students hungry to learn.

Please note: Varsity Tutors does not contract in: Alaska, California, Delaware, Hawaii, Maine, New Hampshire, North Dakota, Vermont, West Virginia or Puerto Rico.
 ",usa,scientist
