,job_title,company_name,location,work_type,date_posted,applicant_count,level,company_info,job_description_lines,country,job
0,"('Part-Time Job Opportunity | Data Analyst',)","('TELUS International AI Data Solutions',)","('Liverpool Street, England, United Kingdom',)","('Remote',)","('2 weeks ago',)","('190 applicants',)","('See how you compare to 190 applicants. Retry Premium Free',)","('',)","
TELUS International AI-Data Solutions partners with a diverse and vibrant community to help our customers enhance their AI and machine learning models. The work of our AI Community contributes to improving technology and the digital experiences of many people around the world. Our AI Community works in our proprietary AI training platform handling all data types (text, images, audio, video and geo) across 500+ languages and dialects. We offer flexible work-from-home opportunities for people with passion for languages. The jobs are part-time, and there is no fixed schedule. Whoever you are, wherever you come from, come join our global AI community.


We are hiring freelance English speaking Online Data Analyst for a project aimed at improving the content and quality of digital maps, which are used by millions of users globally. The job would suit someone who is detail-oriented, likes doing research and has a good knowledge of national and local geography.

This is a freelance position on a flexible schedule of up to 20 hours per week - you can work in your own time whenever work is available. You will be completing research and evaluation tasks in a web-based environment, eg verifying and comparing data, determining the relevance and accuracy of information. You will be provided with guidelines for each task, which need to be followed. The project offers a variety of tasks, and work is paid per task.


Requirements:Fluency in EnglishYou must be living in the United Kingdom for the last 2 consecutive yearsAbility to follow guidelines and do research online using search engines, online maps and website informationYou must have familiarity with current and historical business, media, sport, news, social media and cultural affairs in United KingdomBeing open to work across a diverse set of Task Types (e.g. News, Audio tasks, Relevance)Applicants must be 18 years or over. ID verification must be attached when submitting your application.


Interested? Please follow the steps below to apply:1. Create an account by clicking the link below or the APPLY button:English (United Kingdom) - https://www.telusinternational.ai/cmp/contributor/jobs/available/2022. Click ""Sign Up"" and answer the necessary fields.3. Check your email inbox to confirm your email and set up your password and account.4. Once you complete the registration process, click the ""Apply"" button to start your application process for the project.


Working on this project will require you to go through a standard recruitment process (including passing an open book assessment). This is a long-term project and your work will occasionally be subject to quality assurance checks.

Why Join the TELUS International AI Community?Earn extra incomeAccess to our community wellbeing initiativeRemote work & Location IndependenceBe your own boss
 ",uk,analyst
1,"('Part-Time Job Opportunity | Data Analyst',)","('TELUS International AI Data Solutions',)","('Liverpool Street, England, United Kingdom',)","('Remote',)","('2 weeks ago',)","('190 applicants',)","('See how you compare to 190 applicants. Retry Premium Free',)","('',)","
TELUS International AI-Data Solutions partners with a diverse and vibrant community to help our customers enhance their AI and machine learning models. The work of our AI Community contributes to improving technology and the digital experiences of many people around the world. Our AI Community works in our proprietary AI training platform handling all data types (text, images, audio, video and geo) across 500+ languages and dialects. We offer flexible work-from-home opportunities for people with passion for languages. The jobs are part-time, and there is no fixed schedule. Whoever you are, wherever you come from, come join our global AI community.


We are hiring freelance English speaking Online Data Analyst for a project aimed at improving the content and quality of digital maps, which are used by millions of users globally. The job would suit someone who is detail-oriented, likes doing research and has a good knowledge of national and local geography.

This is a freelance position on a flexible schedule of up to 20 hours per week - you can work in your own time whenever work is available. You will be completing research and evaluation tasks in a web-based environment, eg verifying and comparing data, determining the relevance and accuracy of information. You will be provided with guidelines for each task, which need to be followed. The project offers a variety of tasks, and work is paid per task.


Requirements:Fluency in EnglishYou must be living in the United Kingdom for the last 2 consecutive yearsAbility to follow guidelines and do research online using search engines, online maps and website informationYou must have familiarity with current and historical business, media, sport, news, social media and cultural affairs in United KingdomBeing open to work across a diverse set of Task Types (e.g. News, Audio tasks, Relevance)Applicants must be 18 years or over. ID verification must be attached when submitting your application.


Interested? Please follow the steps below to apply:1. Create an account by clicking the link below or the APPLY button:English (United Kingdom) - https://www.telusinternational.ai/cmp/contributor/jobs/available/2022. Click ""Sign Up"" and answer the necessary fields.3. Check your email inbox to confirm your email and set up your password and account.4. Once you complete the registration process, click the ""Apply"" button to start your application process for the project.


Working on this project will require you to go through a standard recruitment process (including passing an open book assessment). This is a long-term project and your work will occasionally be subject to quality assurance checks.

Why Join the TELUS International AI Community?Earn extra incomeAccess to our community wellbeing initiativeRemote work & Location IndependenceBe your own boss
 ",uk,analyst
2,"('Part-Time Job Opportunity | Data Analyst',)","('TELUS International AI Data Solutions',)","('Birmingham, England, United Kingdom',)","('Remote',)","('2 weeks ago',)","('67 applicants',)","('See how you compare to 67 applicants. Retry Premium Free',)","('',)","
TELUS International AI-Data Solutions partners with a diverse and vibrant community to help our customers enhance their AI and machine learning models. The work of our AI Community contributes to improving technology and the digital experiences of many people around the world. Our AI Community works in our proprietary AI training platform handling all data types (text, images, audio, video and geo) across 500+ languages and dialects. We offer flexible work-from-home opportunities for people with passion for languages. The jobs are part-time, and there is no fixed schedule. Whoever you are, wherever you come from, come join our global AI community.

We are hiring freelance Swedish/English speaking Online Data Analyst for a project aimed at improving the content and quality of digital maps, which are used by millions of users globally. The job would suit someone who is detail-oriented, likes doing research and has a good knowledge of national and local geography.

This is a freelance position on a flexible schedule of up to 20 hours per week - you can work in your own time whenever work is available. You will be completing research and evaluation tasks in a web-based environment, eg verifying and comparing data, determining the relevance and accuracy of information. You will be provided with guidelines for each task, which need to be followed. The project offers a variety of tasks, and work is paid per task.

Requirements:Fluency in English and SwedishYou must be living in Sweden/United Kingdom for the last 2 consecutive yearsYou must have familiarity with current and historical business, media, sport, news, social media and cultural affairs in Sweden/United KingdomBeing open to work across a diverse set of Task Types (e.g. News, Audio tasks, Relevance)Ability to follow guidelines and do research online using search engines, online maps and website informationApplicants must be 18 years or over. ID verification must be attached when submitting your application.

Interested? Please follow the steps below to apply:1. Create an account here:Swedish (Sweden) - https://www.telusinternational.ai/cmp/contributor/jobs/available/196English (United Kingdom) - https://www.telusinternational.ai/cmp/contributor/jobs/available/2022. Click ""Sign Up"" and answer the necessary fields.3. Check your email inbox to confirm your email and set up your password and account.4. Once you complete the registration process, click the ""Apply"" button to start your application process for the project.

Working on this project will require you to go through a standard recruitment process (including passing an open book assessment). This is a long-term project and your work will occasionally be subject to quality assurance checks.

Why Join the TELUS International AI Community?Earn extra incomeAccess to our community wellbeing initiativeRemote work & Location IndependenceBe your own boss
 ",uk,analyst
3,"('Part-Time Online Data Analyst',)","('TELUS International AI Data Solutions',)","('Hampshire, England, United Kingdom',)","('Remote',)","('3 weeks ago',)","('136 applicants',)","('See how you compare to 136 applicants. Retry Premium Free',)","('',)","
TELUS International AI-Data Solutions partners with a diverse and vibrant community to help our customers enhance their AI and machine learning models. The work of our AI Community contributes to improving technology and the digital experiences of many people around the world. Our AI Community works in our proprietary AI training platform handling all data types (text, images, audio, video and geo) across 500+ languages and dialects. We offer flexible work-from-home opportunities for people with passion for languages. The jobs are part-time, and there is no fixed schedule. Whoever you are, wherever you come from, come join our global AI community. www.telusinternational.com

We are hiring freelance Swedish/English speaking Online Data Analyst for a project aimed at improving the content and quality of digital maps, which are used by millions of users globally. The job would suit someone who is detail-oriented, likes doing research and has a good knowledge of national and local geography.

This is a freelance position on a flexible schedule of up to 20 hours per week - you can work in your own time whenever work is available. You will be completing research and evaluation tasks in a web-based environment, eg verifying and comparing data, determining the relevance and accuracy of information. You will be provided with guidelines for each task, which need to be followed. The project offers a variety of tasks, and work is paid per task.

Requirements:Fluency in English and SwedishYou must be living in Sweden/United Kingdom for the last 2 consecutive yearsYou must have familiarity with current and historical business, media, sport, news, social media and cultural affairs in Sweden/United KingdomBeing open to work across a diverse set of Task Types (e.g. News, Audio tasks, Relevance)Ability to follow guidelines and do research online using search engines, online maps and website informationApplicants must be 18 years or over. ID verification must be attached when submitting your application.

Interested? Please follow the steps below to apply:1. Create an account here:Swedish (Sweden) - https://www.telusinternational.ai/cmp/contributor/jobs/available/196English (United Kingdom) - https://www.telusinternational.ai/cmp/contributor/jobs/available/2022. Click ""Sign Up"" and answer the necessary fields.3. Check your email inbox to confirm your email and set up your password and account.4. Once you complete the registration process, click the ""Apply"" button to start your application process for the project.


Working on this project will require you to go through a standard recruitment process (including passing an open book assessment). This is a long-term project and your work will occasionally be subject to quality assurance checks.

Why Join the TELUS International AI Community?Earn extra incomeAccess to our community wellbeing initiativeRemote work & Location IndependenceBe your own boss
 ",uk,analyst
4,"('Part-Time | Online Data Analyst',)","('TELUS International AI Data Solutions',)","('West Yorkshire, England, United Kingdom',)","('Remote',)","('2 weeks ago',)","('63 applicants',)","('See how you compare to 63 applicants. Retry Premium Free',)","('',)","
TELUS International AI-Data Solutions partners with a diverse and vibrant community to help our customers enhance their AI and machine learning models. The work of our AI Community contributes to improving technology and the digital experiences of many people around the world. Our AI Community works in our proprietary AI training platform handling all data types (text, images, audio, video and geo) across 500+ languages and dialects. We offer flexible work-from-home opportunities for people with passion for languages. The jobs are part-time, and there is no fixed schedule. Whoever you are, wherever you come from, come join our global AI community.

We are hiring freelance Swedish/English speaking Online Data Analyst for a project aimed at improving the content and quality of digital maps, which are used by millions of users globally. The job would suit someone who is detail-oriented, likes doing research and has a good knowledge of national and local geography.

This is a freelance position on a flexible schedule of up to 20 hours per week - you can work in your own time whenever work is available. You will be completing research and evaluation tasks in a web-based environment, eg verifying and comparing data, determining the relevance and accuracy of information. You will be provided with guidelines for each task, which need to be followed. The project offers a variety of tasks, and work is paid per task.

Requirements:Fluency in English and SwedishYou must be living in Sweden/United Kingdom for the last 2 consecutive yearsYou must have familiarity with current and historical business, media, sport, news, social media and cultural affairs in Sweden/United KingdomBeing open to work across a diverse set of Task Types (e.g. News, Audio tasks, Relevance)Ability to follow guidelines and do research online using search engines, online maps and website informationApplicants must be 18 years or over. ID verification must be attached when submitting your application.

Interested? Please follow the steps below to apply:1. Create an account here:Swedish (Sweden) - https://www.telusinternational.ai/cmp/contributor/jobs/available/196English (United Kingdom) - https://www.telusinternational.ai/cmp/contributor/jobs/available/2022. Click ""Sign Up"" and answer the necessary fields.3. Check your email inbox to confirm your email and set up your password and account.4. Once you complete the registration process, click the ""Apply"" button to start your application process for the project.

Working on this project will require you to go through a standard recruitment process (including passing an open book assessment). This is a long-term project and your work will occasionally be subject to quality assurance checks.

Why Join the TELUS International AI Community?Earn extra incomeAccess to our community wellbeing initiativeRemote work & Location IndependenceBe your own boss
 ",uk,analyst
5,"('Junior Data Analyst (Nix & Kix - Kickstarter) *',)","('Gradfuel',)","('London, England, United Kingdom',)","('Remote',)","('1 month ago',)","('98 applicants',)","('See recent hiring trends for Gradfuel. Retry Premium Free',)","('',)","
This is a Kickstarter Scheme position (candidate must be on, or have applied for, Universal Credit).

Nix & Kix is one of the fastest-growing soft drinks brands in the UK. We produce a range of adult soft drinks that are infused with a hint of UK grown chilli for a natural pick-me-up.

We are a small London based company on a big mission to remove the boredom and stigma that surrounds soft drinks. We run a slick operation here at Nix & Kix HQ, and we’re looking for ambitious, hungry and enthusiastic Junior Data Analysts to join our Team!

Position Overview:

NIX&KIX are a soft drinks start-up with something a little different. Founded by Julia and Kerstin 5 years ago, they saw an opportunity to spice up the sector, quite literally!

All NIX&KIX drinks are entirely natural, low sugar, vegan and come with a unique cayenne addition providing that extra kick.

We are looking for a meticulous, resourceful and analytical individual to join the team to support our commercial team in analysing channel sales trends,

You will uncover and match data sets, and produce compelling reports for our team. You will be directly supporting the commercial, operations and marketing teams.

Key Responsibilities:

Data Analysis:
Support sales team with reports generated with the provided software Analyse large, complex data sets to uncover trends and patternsSummarise and present data and insights to our clients and senior team

Data Mining:
Generate data sets for the sales team 

Requirements

Essential: Excel, personal computer

Desirable: understanding of CRM systems and familiarity with Google Data Studio

The ideal candidate will:
Be extremely organized, adaptable and capable of effectively prioritizing workloadDemonstrate critical thinking and resourcefulnessDemonstrate a high level of attention to detailBe proactive

Most importantly, the candidate will have a specific interest in developing their skills in the food and beverage industry with an underlying understanding of what makes things tick in retail.

This is a Kickstarter Scheme position (candidate must be on, or have applied for, Universal Credit).
 ",uk,analyst
6,"('Online Data Analyst (Part-time)',)","('TELUS International AI Data Solutions',)","('Newcastle upon Tyne, England, United Kingdom',)","('Remote',)","('2 weeks ago',)","('79 applicants',)","('See how you compare to 79 applicants. Retry Premium Free',)","('',)","
TELUS International AI-Data Solutions partners with a diverse and vibrant community to help our customers enhance their AI and machine learning models. The work of our AI Community contributes to improving technology and the digital experiences of many people around the world. Our AI Community works in our proprietary AI training platform handling all data types (text, images, audio, video and geo) across 500+ languages and dialects. We offer flexible work-from-home opportunities for people with passion for languages. The jobs are part-time, and there is no fixed schedule. Whoever you are, wherever you come from, come join our global AI community.

We are hiring freelance Swedish/English speaking Online Data Analyst for a project aimed at improving the content and quality of digital maps, which are used by millions of users globally. The job would suit someone who is detail-oriented, likes doing research and has a good knowledge of national and local geography.

This is a freelance position on a flexible schedule of up to 20 hours per week - you can work in your own time whenever work is available. You will be completing research and evaluation tasks in a web-based environment, eg verifying and comparing data, determining the relevance and accuracy of information. You will be provided with guidelines for each task, which need to be followed. The project offers a variety of tasks, and work is paid per task.

Requirements:Fluency in English and SwedishYou must be living in Sweden/United Kingdom for the last 2 consecutive yearsYou must have familiarity with current and historical business, media, sport, news, social media and cultural affairs in Sweden/United KingdomBeing open to work across a diverse set of Task Types (e.g. News, Audio tasks, Relevance)Ability to follow guidelines and do research online using search engines, online maps and website informationApplicants must be 18 years or over. ID verification must be attached when submitting your application.

Interested? Please follow the steps below to apply:1. Create an account here:Swedish (Sweden) - https://www.telusinternational.ai/cmp/contributor/jobs/available/196English (United Kingdom) - https://www.telusinternational.ai/cmp/contributor/jobs/available/2022. Click ""Sign Up"" and answer the necessary fields.3. Check your email inbox to confirm your email and set up your password and account.4. Once you complete the registration process, click the ""Apply"" button to start your application process for the project.

Working on this project will require you to go through a standard recruitment process (including passing an open book assessment). This is a long-term project and your work will occasionally be subject to quality assurance checks.

Why Join the TELUS International AI Community?Earn extra incomeAccess to our community wellbeing initiativeRemote work & Location IndependenceBe your own boss
 ",uk,analyst
7,"('Freelance Data Analyst',)","('TELUS International AI Data Solutions',)","('Aberdeen City, Scotland, United Kingdom',)","('Remote',)","('4 weeks ago',)","('89 applicants',)","('See how you compare to 85 applicants. Retry Premium Free',)","('',)","
TELUS International AI-Data Solutions partners with a diverse and vibrant community to help our customers enhance their AI and machine learning models. The work of our AI Community contributes to improving technology and the digital experiences of many people around the world. Our AI Community works in our proprietary AI training platform handling all data types (text, images, audio, video and geo) across 500+ languages and dialects. We offer flexible work-from-home opportunities for people with passion for languages. The jobs are part-time, and there is no fixed schedule. Whoever you are, wherever you come from, come join our global AI community. www.telusinternational.com

We are hiring freelance Swedish/English speaking Online Data Analyst for a project aimed at improving the content and quality of digital maps, which are used by millions of users globally. The job would suit someone who is detail-oriented, likes doing research and has a good knowledge of national and local geography.

This is a freelance position on a flexible schedule of up to 20 hours per week - you can work in your own time whenever work is available. You will be completing research and evaluation tasks in a web-based environment, eg verifying and comparing data, determining the relevance and accuracy of information. You will be provided with guidelines for each task, which need to be followed. The project offers a variety of tasks, and work is paid per task.

Requirements:Fluency in English and SwedishYou must be living in Sweden/United Kingdom for the last 2 consecutive yearsYou must have familiarity with current and historical business, media, sport, news, social media and cultural affairs in Sweden/United KingdomBeing open to work across a diverse set of Task Types (e.g. News, Audio tasks, Relevance)Ability to follow guidelines and do research online using search engines, online maps and website informationApplicants must be 18 years or over. ID verification must be attached when submitting your application.

Interested? Please follow the steps below to apply:1. Create an account here:Swedish (Sweden) - https://www.telusinternational.ai/cmp/contributor/jobs/available/196English (United Kingdom) - https://www.telusinternational.ai/cmp/contributor/jobs/available/2022. Click ""Sign Up"" and answer the necessary fields.3. Check your email inbox to confirm your email and set up your password and account.4. Once you complete the registration process, click the ""Apply"" button to start your application process for the project.


Working on this project will require you to go through a standard recruitment process (including passing an open book assessment). This is a long-term project and your work will occasionally be subject to quality assurance checks.

Why Join the TELUS International AI Community?Earn extra incomeAccess to our community wellbeing initiativeRemote work & Location IndependenceBe your own boss
 ",uk,analyst
8,"('Data Quality Analyst',)","('Mirador Analytics',)","('Scotland, United Kingdom',)","('Remote',)","('2 months ago',)",,"('',)","('Actively recruiting',)","
Mirador Analytics is a UK and North American-based healthcare analytics consultancy, supporting organisations working in healthcare to ensure the privacy of individuals is protected through sufficient levels of data de-identification. Mirador aims to achieve high levels of privacy for individuals while maximising data utility to allow for innovation, efficiency, and development in healthcare. The company is dynamic, fast growing and delivers expertise in a unique space within the data industry. The company has a close-knit culture with an environment that encourages discussion and collaborative thinking to deliver solutions to our clients and the industry. We offer excellent working conditions and benefits with opportunities for international travel and self-development. The company is based in the village of Melrose (Scottish Borders) and employs a mix of local, national, and international individuals to deliver to our global clientèle. Job DescriptionMirador Analytics requires an enthusiastic and scrupulous data quality analyst to join our growing team, which interrogates and assesses client information in terms of the re-identification risk to patients. The data quality analyst’s main responsibilities are to perform initial checks on client data uploaded to our cloud based (AWS) storage facilities; establishing alignment to provided data schema (layouts),and identifying discrepancies. This is a key role which will involve working closely with the project management team, providing information which is essential for effective project coordination. The role can be carried out working at home, in the office, or a mix. Qualifications and ExperienceYou will have a relevant university degree or higher degree with analogous experience in other commercial/service organizations. Essential SkillsSkilled in the manipulation, integration, processing and interrogation of large datasets.Expertise in the navigation of file systems using the command line.Good communication skills.Well-developed time management skills and demonstrable experience of prioritising work to meet tight deadlines.The ability to work both part of a team and independently.Effective working while adhering to company security and privacy protocols.Desirable SkillsFamiliarity with Amazon Web Services cloud-based storage and computing facilities.Bash scripting skills.

 ",uk,analyst
9,"('DIGITAL DATA ANALYST - REMOTE',)","('Harnham',)","('London, England, United Kingdom',)","('Remote',)","('5 days ago',)","('26 applicants',)","('1 school alumni',)","('See how you compare to 26 applicants. Retry Premium Free',)","
DIGITAL DATA ANALYST

REMOTE

£50,000 - £60,000

Customer experience agency looking for a web analyst with a strategic mindset and a desire to progress quickly.

The Company

an eclectic mix of bright and creative thinkers, embracing the best of research, strategy, design and experimentation to solve their clients' toughest challenges

THE ROLE 

typically a team of CRO specialists with a bit of analytical experience but this role will be the first Data focused role, building up the function and potentially heading up a team.
Working on the delivery of analytics for the existing 3 clientsSupporting the sales team on pitches and building out new clientsSupporting on troubleshooting and implementation
The Skills
GA/ AALeadership potential SQL / BigQuery (can be very basic) 
Benefits

Up to £60,000, 30 days holiday, fully remote working with a WeWork subscription, 4 and half-day work week (Friday is 1 pm finish!), £350 working from allowance and unlimited amount of progression and development potential.

How To Apply

Please register your interest by sending your CV to Holly Taylor via the apply link on this page.
 ",uk,analyst
