,job_title,company_name,location,work_type,date_posted,applicant_count,level,company_info,job_description_lines,country,job
0,"('Data Analyst',)","('Brooksource',)","('United States',)","('Remote',)","('1 week ago',)",,"('',)","('Actively recruiting',)","
Junior Data Analyst6-12 Month Contract to HireFully Remote
Brooksource is searching for a Junior Data Analyst to join our Fortune 50 Health Insurance partner to assist with a variety of tasks within their VBC platform (Value-Based Care), as well as workstreams supporting their EDW (Enterprise Data Warehouse). As a Junior Data Analyst, you will be responsible for compiling and running various reports for the VBC platform utilizing Power BI, seek out opportunities to improve efficiencies and find optimizations within the platform, collaborate with stakeholders and present your findings, and general ad-hoc support. This position is through Brooksource's Elevate Program, and will include additional technical training including, but not limited to: Snowflake, Power BI, AWS, SQL, Informatica, Python, etc.
The Junior Data Analyst in this role will experience a dynamic team environment and the opportunity to grow into technology areas within the organization based upon interest and availability. Additional opportunities can include: ETL work, supporting client's migration from on-prem EDW into Snowflake, AWS work within their Data Lake team, etc.
Daily You Will:Create, help, and support Python code in VBC platformBuild reports within Power BISeek out opportunities for optimization, improve efficiencies within VBC platformPresent findings to leadershipKeep track and log necessary issues within VBC platform and/or Service NowParticipate in guided mentorship from senior level team members and management in the EDW environmentReceive hands on training that can be used to improve skillsets in the following areas: Power BI, Snowflake, AWS, SQL, Python.
Skillset:Bachelor’s Degree (preferably in CS, MIS, or any related field)Strong background and core coursework in Python developmentStrong background and proficiency within MS Office Suite (Excel - Data Analytics and Visualization, Reports, Pivot Tables, V-Look Ups, etc.) PowerPoint, Office, etc.Strong background in Python libraries like Pandas, NumPy, Matplotlib, etc.Strong background and core coursework in SQL/relational database proficiencyQueries, views, stored procedures, triggers, etc.Knowledge of SCRUM and AGILE methodologiesStrong coding and troubleshooting skillsIdeally, experience and/or interest in Power BI, Snowflake, AWSHealthcare experience and/or project/internship experience within Power BI, Snowflake, or AWS a plus
 Qualities of a Top Candidate:Strong interpersonal skills and written/oral communication skills to work effectively with business partners, peer IT resources, and all levels of managementAbility to reason logically analyze and evaluate performance data and information, and draw appropriate conclusionsEager and excited learned looking to grow current development and application support skillsAbility to multitask effectivelySelf-starter and capable of working with minimum oversightPositive and questioning attitude
 ",usa,analyst
1,"('Data Analyst',)","('Brooksource',)","('United States',)","('Remote',)","('1 week ago',)",,"('',)","('Actively recruiting',)","
Junior Data Analyst6-12 Month Contract to HireFully Remote
Brooksource is searching for a Junior Data Analyst to join our Fortune 50 Health Insurance partner to assist with a variety of tasks within their VBC platform (Value-Based Care), as well as workstreams supporting their EDW (Enterprise Data Warehouse). As a Junior Data Analyst, you will be responsible for compiling and running various reports for the VBC platform utilizing Power BI, seek out opportunities to improve efficiencies and find optimizations within the platform, collaborate with stakeholders and present your findings, and general ad-hoc support. This position is through Brooksource's Elevate Program, and will include additional technical training including, but not limited to: Snowflake, Power BI, AWS, SQL, Informatica, Python, etc.
The Junior Data Analyst in this role will experience a dynamic team environment and the opportunity to grow into technology areas within the organization based upon interest and availability. Additional opportunities can include: ETL work, supporting client's migration from on-prem EDW into Snowflake, AWS work within their Data Lake team, etc.
Daily You Will:Create, help, and support Python code in VBC platformBuild reports within Power BISeek out opportunities for optimization, improve efficiencies within VBC platformPresent findings to leadershipKeep track and log necessary issues within VBC platform and/or Service NowParticipate in guided mentorship from senior level team members and management in the EDW environmentReceive hands on training that can be used to improve skillsets in the following areas: Power BI, Snowflake, AWS, SQL, Python.
Skillset:Bachelor’s Degree (preferably in CS, MIS, or any related field)Strong background and core coursework in Python developmentStrong background and proficiency within MS Office Suite (Excel - Data Analytics and Visualization, Reports, Pivot Tables, V-Look Ups, etc.) PowerPoint, Office, etc.Strong background in Python libraries like Pandas, NumPy, Matplotlib, etc.Strong background and core coursework in SQL/relational database proficiencyQueries, views, stored procedures, triggers, etc.Knowledge of SCRUM and AGILE methodologiesStrong coding and troubleshooting skillsIdeally, experience and/or interest in Power BI, Snowflake, AWSHealthcare experience and/or project/internship experience within Power BI, Snowflake, or AWS a plus
 Qualities of a Top Candidate:Strong interpersonal skills and written/oral communication skills to work effectively with business partners, peer IT resources, and all levels of managementAbility to reason logically analyze and evaluate performance data and information, and draw appropriate conclusionsEager and excited learned looking to grow current development and application support skillsAbility to multitask effectivelySelf-starter and capable of working with minimum oversightPositive and questioning attitude
 ",usa,analyst
2,"('Analyst, Data Services- AmeriSpeak - Remote',)","('NORC at the University of Chicago',)","('Chicago, IL',)","('Remote',)","('2 weeks ago',)","('67 applicants',)","('See how you compare to 67 applicants. Retry Premium Free',)","('',)","
Job Description

AmeriSpeak is a fast growing, fast-paced, innovative, probability-based panel housed within NORC at the University of Chicago, a world leader in research excellence. The Data Services Analyst/Senior Analyst is a fantastic opportunity to develop, hone, and use your database and data analysis skills in projects involving important and cutting-edge survey research. The projects you will be working on cover a wide variety of topics that impact our world today. You will have the opportunity to work with multidisciplinary, cross-functional teams.

The Data Service Analyst/Senior Analyst is responsible, through data review, for strategizing questionnaire design, programming, and data strategies as they relate to client projects and/or NORC-owned profile and auxiliary data. A Data Analyst/Senior Analyst ensures survey data quality through reviewing and validating simulated and respondent survey data throughout the field period using appropriate statistical applications; and importing, cleaning, and transforming raw data for eventual client delivery using appropriate statistical applications and summarizing information into charts, graphs, banners, and tables.

NORC recognizes that talented and skilled researchers live throughout the U.S. and actively supports remote work arrangements.

As a condition of employment, all NORC employees and contractors – including those working remotely - must be fully vaccinated (as defined by current CDC guidance) against COVID-19.

DEPARTMENT: AMERISPEAK

AmeriSpeak is housed within NORC’s Business Ventures and Innovation (BVI) group. This diverse team is dedicated to NORC’s future in the context of accelerating change within the social science research industry. We are focused on evolutionary yet bold changes that will build upon and expand our traditional strengths to ensure a future of increased relevance, deeper impact, and long-term sustainability. AmeriSpeak, a primary example of innovation, delivers quality typical of more traditional scientific survey methods, with the affordability and speed of online surveys. See https://amerispeak.norc.org/ for more information.

Responsibilities
Help to program and develop automation data processes and efficiencies.Build, transform, validate and clean client data and/or NORC-owned profile and auxiliary data using a variety of techniques.Review simulated and pretest data to check on the quality of questionnaire design and programming. Review final client data to ensure data and data deliverables are error free, most accessible by clients (internal or external), and of the highest quality.Cleans and prepares raw data for weighting and client delivery; conducts ad hoc data analyses using statistical applications such R, SPSS, od SAS and summarizes information into tables, graphs, and text.Performs quality control testing on programmed surveys in the phone and web modes and manages questionnaire revisions throughout the testing cycle. Drafts feedback for project managers and programming staff.Prepare codebooks and questionnaire documentation for client surveys and survey data and/or NORC-conducted surveys and data.Performs other duties as assigned.
Required Skills
Bachelor's or Master’s degree in Math, Statistics, Computer Science, Data Science, Market Research, or Social Science related field.Working knowledge of statistics, mathematics, machine learning, scientific methods of inquiry, and/or survey research. Experience with data and quantitative methods.The ideal candidate has experience in positions of increasing responsibility, working with data, and conducting statistical and quantitative analysis, ideally in a survey research environment. For an Analyst, we are looking for a minimum of 1 year worth of experience. For a Senior Analyst, we are looking for 3 years minimum of working experience.Strong problem solving, quantitative data analysis, time management, personal organization, logical thinking, attention to detail, discretion, and composure skills.To manage multiple projects with agility, to organize and prioritize work assignments to meet project needs, to work effectively and collaboratively with colleagues across multiple teams, and to work with minimal supervision.Strong communication and interpersonal skills. Strong technical writing skills.Ability to work on multiple projects at the same time with agility and to work effectively with team members, multiple departments, stakeholders, and internal/external clients.Ability to work effectively and collaboratively with minimal supervision.The candidate must have experience with statistical and database management software. Knowledge of and experience with R programming is most strongly preferred, especially for the purposes of developing automated data processes. Knowledge of SPSS and SPSS syntax is also a strong plus. Ideal for candidates to have good working experience with database tools such as SQL, Python, etc. Must have experience with Microsoft Office software, including word processing, spreadsheets, and graphics (Outlook, Word, Excel, and PowerPoint). Experience with on-line survey or CATI software is a plus.
What We Do

NORC at the University of Chicago is an objective, non-partisan research institution that delivers reliable data and rigorous analysis to guide critical programmatic, business, and policy decisions. Since 1941, our teams have conducted groundbreaking studies, created and applied innovative methods and tools, and advanced principles of scientific integrity and collaboration. Today, government, corporate, and nonprofit clients around the world partner with us to transform increasingly complex information into useful knowledge.

Who We Are

For over 75 years, NORC has evolved in many ways, moving the needle with research methods, technical applications and groundbreaking research findings. But our tradition of excellence, passion for innovation, and commitment to collegiality have remained constant components of who we are as a brand, and who each of us is as a member of the NORC team. With world-class benefits, a business casual environment, and an emphasis on continuous learning, NORC is a place where people join for the stellar research and analysis work for which we’re known, and stay for the relationships they form with their colleagues who take pride in the impact their work is making on a global scale.

EEO STATEMENT: NORC is an affirmative action, equal opportunity employer that values and actively seeks diversity in the workforce. NORC evaluates qualified applicants without regard to race, color, religion, sex, national origin, disability, veteran status, sexual orientation, gender identity, and other legally- protected characteristics.

 ",usa,analyst
3,"('Need Data Analyst',)","('Dice',)","('United States',)","('Remote',)","('6 hours ago',)",,"('',)","('Actively recruiting',)","
              Dice is the leading career destination for tech experts at every stage of their careers. Our client, iPivot, LLC, is seeking the following. Apply via Dice today!

Greetings,

Hope you are doing well.

We have an Urgent requirement with our direct clients, please go through the job details and let us know if you are interested, do send us your updated resume and contact details

 Data Analyst with BSA

Location: REMOTE

Contract Length: 24+ months

Rates are $ Open

 Location at Princeton , NJ 

""Strong in:

DATA ANALYST WITH BSA
 provided by Dice


 ",usa,analyst
4,"('Data Analyst!',)","(""Champion's Bar & Grill"",)","('United States',)","('Remote',)","('9 minutes ago',)","('3 applicants',)","('',)","('Easy Apply',)","
Summary:Data Analyst is responsible for maintaining customer satisfaction by providing the utmost best customer service, by entering orders for a specific company or customers accurately. Data entry clerks are expected to carry out a wider range of office administrative functions. Data entry is an essential administrative job that requires accuracy, speed and competency.
Primary ResponsibilitiesReading source documents and enter information into specific fields· Review and analyze data to confirm authenticity and accuracy of company data.Responsible for accurately inputting a high volume of customer orders and information into the company’s database Create work orders for customers, ensuring information is accurateCommunicates with appropriate department of order when neededReviews discrepancies in entered data, makes appropriate corrections or requests clarification as neededComfortable in a fast-paced environment, self-motivated and flexibleAbility to multitaskDetail-oriented, strong attention to detailOther duties assigned as neededQualifications:High School diploma or equivalentMinimum of 1 year of data entry experience requiredStrong MS Office (Word, Excel, Outlook) skills requiredExpert in ExcelHighly self-motivated and well organizedExcellent communication skills, written and verbalStrong attention to detail, confidentiality, and thoroughness requiredMust be reliable, have exceptional attendance and punctuality

 ",usa,analyst
5,"('Data Analyst',)","('Dice',)","('United States',)","('Remote',)","('6 hours ago',)","('129 applicants',)","('See how you compare to 129 applicants. Retry Premium Free',)","('',)","
              Dice is the leading career destination for tech experts at every stage of their careers. Our client, Comprehensive Resources Inc., is seeking the following. Apply via Dice today!

Client: ADP

Location: Parsippany, NJ (Hybrid)

Role: Analyst Data, Midlevel Advanced Tech

Experience: 10 years

Responsibilities:
Experience with Databricks Environment management and concepts like workspace, cluster, jobs/workflowFamiliarity with Snowflake environment administration and managementIdentify, analyze, and interpret trends or patterns in complex data sets to report and ensure Quality issues.Experience in performing Data Analysis/Testing using SQL on Databricks, SnowflakeLocate and define new process improvement opportunitiesExperience working with AWS and Services like S3, EC2, Security Groups, IAM roles and policies etc. provided by Dice


 ",usa,analyst
6,"('Remote Data Collector',)","('Appen',)","('Jacksonville, FL',)","('Remote',)","('1 week ago',)","('122 applicants',)","('1 company alumni · 2 school alumni',)","('',)","
Do you want to be a part of something bigger than yourself? Would you like to help make business search results better for end-users? This project is for you!
 Requirements:• Native or Bilingual English speakers• 3 to 5 years of residency in the country you are currently residing• Computer OS should be Microsoft Vista, Microsoft Windows 7, and above• Windows Live ID (WLID)
Project Description:The goal of this project is to tap into the collective intelligence of the public at large. Results of tasks will be used in a wide variety of applications - data annotation, multimedia, sentiment analysis, and search engine result evaluation.
Benefits:• Earn extra income while at home• Flexible work hours• You can apply to as many projects as you can• You can work on our projects around your other jobs or while studying• Appen is ranked as top 1 out of 100 companies offering remote jobs by Flexjobs.com
Apply and register on our website to start your journey with us! Thank you and we hope you can be part of our growing global team!
A diverse, inclusive culture is vital to our mission of helping build better AI. We offer opportunities for individuals of all abilities and backgrounds.
 ",usa,analyst
7,"('Data Analyst',)","('Dice',)","('United States',)","('Remote',)","('3 weeks ago',)","('33 applicants',)","('See how you compare to 33 applicants. Retry Premium Free',)","('',)","
              Dice is the leading career destination for tech experts at every stage of their careers. Our client, K-Tek Resourcing LLC, is seeking the following. Apply via Dice today!

Roles & Responsibilities:
Data Analyst Analyzing data and providing reports Developing and implementing databases and data collection systems.Acquiring data from primary and secondary sources and maintaining data systems.Identifying, analyzing, and interpreting trends or patterns in complex data sets.Filtering and cleaning data.Strong skills to help collect measure organize and analyze data.Knowledge of programming languages like SQLTechnical proficiency in database design development data model techniques for data mining and segmentation.Adept at using data processing platforms like RDBMS.Problem-solving skills Accuracy and attention to detail.Adept at queries writing reports and making presentations.Team working skills.Verbal and Written communication skills.Proven working experience in data analysis - provided by Dice

 ",usa,analyst
8,"('Data Analyst',)","('Brown & Brown Insurance',)","('United States',)","('Remote',)","('6 days ago',)","('28 applicants',)","('See how you compare to 28 applicants. Retry Premium Free',)","('',)","
              Built on meritocracy, our unique company culture rewards self-starters and those who are committed to doing what is best for our customers.

We think of ourselves as a team, so we have teammates - not employees. We strive to attract people who are competitive, driven, and disciplined.

Brown & Brown Insurance is seeking an experienced professional to join us as a Data Analyst. This is a full time, benefits eligible remote position.

The Data Analyst will be responsible for supporting the national EBTech team in the accurate and timely movement of data between customer payroll/HCM and benefits administration software systems. Most of EBTech customers need to keep data synchronous between the benefits administration software we deploy and support, and the payroll/HCM software that the customer also utilizes. The successful completion of assigned tasks ensures that our customer’s employees receive access to, or are removed from, insurance coverage in a timely manner. In addition, chosen benefits often include payroll deductions for employees, so deductions calculated in benefits administration must be accurately reflected in payroll for proper processing. This is critical for EBTech’s ongoing success. As a Data Analyst, you are responsible for ensuring that tasks are completed on-time with high quality and timeliness. The Data Analyst will work closely with the Software Integration team and other team members in overseeing the completion of all assigned tasks.

Essential Duties And Functions
Upload payroll demographic data files into benefits administration software platforms to keep data in sync between systems. Analyze data errors/issues and complete corrections/updates in timely manner.Format, import and audit demographic and benefits enrollment data for new customer implementations of benefits administration software.Review payroll deduction files, including formatting and transmitting files post open enrollment to update customer payroll deductions.Assist with deduction file setup including data entry and testing scenarios to ensure data is correct and ready for transmission.Assist in payroll demographic data mapping – initial builds or updates as needed.Provide support and answer questions from clients, account managers, payroll vendors, and internal employees regarding payroll feeds for both demographic and deduction files. Learn applicable software tools.Track EDI feed status (sent/received) and error report receipt from carriers on a weekly basis.Follow organizational and line of business processes, protocols and quality standards in the development and deployment of solutions.Represent EBTech in a professional manner in every interaction with outside parties.Provide continuous feedback on implementation status for both new sites and renewals with regard to above stated tasks.Ensure timely and accurate completion of all assigned tasks.
Required
Minimum education required: Associate’s or Bachelor’s degree or equivalent experienceProficient with MS Office Suite, especially ExcelExperience working with personal computer database applicationsExceptional telephone demeanorAbility to maintain a high level of confidentiality
Preferred
One-Two years’ experience in an office environmentExperience with tasks similar to those outlined under essential duties above.
Target Pay

$23.00 USD Hourly

Benefits

Offers will be negotiated based on each candidate's qualifications.

Full-time roles are eligible for our comprehensive benefits program which includes:
Paid time offGenerous benefits package: health, dental, vision 401(k), etc.Employee Stock Purchase Plan
We are an Equal Opportunity Employer. We take pride in the diversity of our team and seek diversity in our applicants.
 ",usa,analyst
9,"('Data Scientiest Remote',)","('Dice',)","('United States',)","('Remote',)","('1 day ago',)","('9 applicants',)","('See how you compare to 9 applicants. Retry Premium Free',)","('',)","
              Dice is the leading career destination for tech experts at every stage of their careers. Our client, Bhuvi IT Solution's, is seeking the following. Apply via Dice today!

We are looking for a Data Scientist who will support our product, sales, leadership, and marketing teams with insights gained from analyzing company data.

Experience: 7 to 10 years

Work Authorization: onlyWork with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions.Mine and analyze data from company databases to drive optimization and improvement of product development, marketing techniques and business strategies.Assess the effectiveness and accuracy of new data sources and data gathering techniques.Develop custom data models and algorithms to apply to data sets.Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes.Develop company A/B testing framework and test model quality.Coordinate with different functional teams to implement models and monitor outcomes.Develop processes and tools to monitor and analyze model performance and data accuracy.Strong problem solving skills with an emphasis on product development.Experience using statistical computer languages (R, Python, SLQ, etc.) to manipulate data and draw insights from large data sets.Experience working with and creating data architectures.Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks.Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications.Excellent written and verbal communication skills for coordinating across teams.A drive to learn and master new technologies and techniques.We’re looking for someone with 5-7 years of experience manipulating data sets and building statistical models, has a Master’s or PHD in Statistics, Mathematics, Computer Science or another quantitative field, and is familiar with the following software/tools:Coding knowledge and experience with several languages: C, C++, Java,JavaScript, etc.Knowledge and experience in statistical and data mining techniques: GLM/Regression, Random Forest, Boosting, Trees, text mining, social network analysis, etc.Experience querying databases and using statistical computer languages: R, Python, SLQ, etc.Experience using web services: Redshift, S3, Spark, DigitalOcean, etc.Experience creating and using advanced machine learning algorithms and statistics: regression, simulation, scenario analysis, modeling, clustering, decision trees, neural networks, etc.Experience analyzing data from 3rd party providers: Google Analytics, Site Catalyst, Coremetrics, Adwords, Crimson Hexagon, Facebook Insights, etc.Experience with distributed data/computing tools: Map/Reduce, Hadoop, Hive, Spark, Gurobi, MySQL, etc.Experience visualizing/presenting data for stakeholders using: Periscope, Business Objects, D3, ggplot, etc. - provided by Dice

 ",usa,analyst
