,job_title,company_name,location,work_type,date_posted,applicant_count,level,company_info,job_description_lines,country,job
0,"('Part-Time Junior Data Scientist (Remote)',)","('KBR, Inc.',)","('Lexington Park, MD',)","('Remote',)","('6 days ago',)",,"('See how you compare to 568 applicants. Retry Premium Free',)","('',)","
              Junior Data Scientist (Part-Time)

Searching for an intro-level data scientist eager to gain exposure to solving real-world problems with data-driven solutions. This applicant is expected to be familiar standard data science approaches such as data ingest, ETL, preprocessing, model building, model deploying, and monitoring models once deployed. More specifically, they will demonstrate experience working with raw data by processing and ingesting into a database, cleaning it to be fed into a model, and deploying it for some application. Along with this, the applicant can explain findings clearly to a general audience.

Job Description
Troubleshoot problems with data ingesting and processingContribute to research and identification most accurate model architecture for current problem.Collaborate in data science meetings by presenting on theoretical or applied data science topicsDemonstrate the ability to troubleshoot in cloud compute environments such as AWS, Azure, and Google CloudDevelop visualizations to convey meaningful insightsPresent insights from models to non-technical crowd to convey findingsSuggest meaningful approaches, models, and services to addressing problems.Stay informed about trends and recent capabilities within data science.
Requirements
Undergraduate degree in or completing a degree data science, statistics, computer science, or a relative quantitative field.Moderate experience in Python or R is preferred. Other equivalent languages are considered.Understanding of relational database querying language such as SQLExperienced in machine learning and also, neural network techniques is preferredAbility to explain insights in laymen’s terms in order inform business decisionsExposure to one more neural network framework – Tensorflow, Torch/ PyTorch, ONNX, etcPreviously worked with distributed compute environments such as Hadoop.
 ",usa,scientist
1,"('Part-Time Junior Data Scientist (Remote)',)","('KBR, Inc.',)","('Lexington Park, MD',)","('Remote',)","('6 days ago',)",,"('See how you compare to 568 applicants. Retry Premium Free',)","('',)","
              Junior Data Scientist (Part-Time)

Searching for an intro-level data scientist eager to gain exposure to solving real-world problems with data-driven solutions. This applicant is expected to be familiar standard data science approaches such as data ingest, ETL, preprocessing, model building, model deploying, and monitoring models once deployed. More specifically, they will demonstrate experience working with raw data by processing and ingesting into a database, cleaning it to be fed into a model, and deploying it for some application. Along with this, the applicant can explain findings clearly to a general audience.

Job Description
Troubleshoot problems with data ingesting and processingContribute to research and identification most accurate model architecture for current problem.Collaborate in data science meetings by presenting on theoretical or applied data science topicsDemonstrate the ability to troubleshoot in cloud compute environments such as AWS, Azure, and Google CloudDevelop visualizations to convey meaningful insightsPresent insights from models to non-technical crowd to convey findingsSuggest meaningful approaches, models, and services to addressing problems.Stay informed about trends and recent capabilities within data science.
Requirements
Undergraduate degree in or completing a degree data science, statistics, computer science, or a relative quantitative field.Moderate experience in Python or R is preferred. Other equivalent languages are considered.Understanding of relational database querying language such as SQLExperienced in machine learning and also, neural network techniques is preferredAbility to explain insights in laymen’s terms in order inform business decisionsExposure to one more neural network framework – Tensorflow, Torch/ PyTorch, ONNX, etcPreviously worked with distributed compute environments such as Hadoop.
 ",usa,scientist
2,"('Junior Data Scientist (Remote)',)","('SynergisticIT',)","('San Francisco, CA',)","('Remote',)","('1 month ago',)","('20 applicants',)","('See how you compare to 20 applicants. Retry Premium Free',)","('',)","
              Synergistic IT is a full-service staffing and placement firm servicing client in America for the past 12+ years. We are dedicated towards fulfilling the IT needs of our clients. From staffing to full implementation of projects we provide the highest quality IT Services. We Intend to deliver exceptional student outcome. We don't just help you secure a tech job but build a solid career in technology.

Job Description

Roles Responsibilities:

Help extract data from multiple sources and join it together to prepare a datapool for the project.

Analyze and recommend the best strategy to develop a powerful model based in the current data generated by our business.

Optimize the current Model to make it scalable and easily configurable for other projects

Develop the explanations to explain models recommendations to the team.

Be prepared for changes in business direction and understand when to adjust designs.

Skills Required

Specialist in datasets management

Very fluent in SQL data bases for complex queries.

Able to carry on with data conversion from different sources

Ability to use Microsoft Power BI

Notions of Machine learning algorithms

Problem-solving aptitude

Excellent communication and presentation skills

Education Requirement: -
Bachelors in Computer Science, Engineering or relevant field; graduate degree in Data Science or another quantitative field is preferred.
Benefits
On Job Technical supportE- verifiedFiling of H1b and Green cardFull time position 
Candidate who are missing the required skills, might be provided an option to enhance their skills, so that they can also apply for the role and can make a career in IT industry.

If you do respond via e-mail, please include a daytime phone number so that we can reach you. In considering candidates, time is of the essence, so please respond ASAP. Thank you
 ",usa,scientist
3,"('Entry Level Data Scientist (Remote)',)","('SynergisticIT',)","('Texas City, TX',)","('Remote',)","('3 weeks ago',)","('112 applicants',)","('See how you compare to 112 applicants. Retry Premium Free',)","('',)","
              Synergistic IT is a full-service staffing and placement firm servicing client in America for the past 12+ years. We are dedicated towards fulfilling the IT needs of our clients. From staffing to full implementation of projects we provide the highest quality IT Services. We Intend to deliver exceptional student outcome. We don't just help you secure a tech job but build a solid career in technology.

Job Description

Good understanding of the below models
Identify valuable data sources and automate collection processesUndertake preprocessing of structured and unstructured dataAnalyze large amounts of information to Client trends and patternsClassifier, Random Forest Classifier, Nave Bayes, Support Vector MachineMachine Learning Algorithms - Linear Regression, Logistic Regression, Decision Tree Unsupervised/Clustering algorithmsNLP models, Deep Learning models for image classification 
Desired Candidate Profile

Skills Required
Hands on experience Python scriptingHands on experience in building Machine Learning and Artificial Intelligence modelsGood knowledge on Exploratory Data Analysis (EDA)Hands on experience on platforms - Microsoft Azure/Amazon Web ServicesLibraries – Numpy, Pands, Scikit learn, Seaborn, Plotly, TensorFLow, Should be able to do data visualisation using Tableau or Excel.Excellent English communication (both oral and written) and reading comprehension skills.Strong analytical and problem-solving skills, with clear attention to detail.
Education Requirement: -

Bachelors, Masters in Computer Science/ Computer Engineering/ Information Systems/Information Technology/ Electrical Engineering/ Mechanical Engineering.

Benefits
On Job Technical supportE- verified ClientsOPT letter for International StudentsFull time position 
Candidate who are missing the required skills, might be provided an option to enhance their skills, so that they can also apply for the role and can make a career in IT industry.

Who Should Apply
Candidates who have difficulty finding jobs even after completing their bachelors and masters. Candidates who are working on redundant technologies and want to become relevant again to boost their growth.Candidates who want to enhance their skill portfolio.Candidate who are open to invest 4-5 months in learning about Java or Data Science and then have a job in the Fortune 500 Companies. After training you will get an opportunity to work with companies like Apple, Google, Wells Fargo, Client, PayPal, eBay etc.*
Checkout The Curriculum For Data Science Track

https://www.synergisticit.com/data-science-track/

Checkout Our Blogs

https://www.synergisticit.com/blog/

If you do respond via e-mail, please include a daytime phone number so that we can reach you. In considering candidates, time is of the essence, so please respond ASAP. Thank you
 ",usa,scientist
4,"('Entry Level Data Scientist (Remote)',)","('Explore Job Search',)","('Los Angeles, CA',)","('Remote',)","('3 weeks ago',)",,"('',)","('Your profile matches this job',)","
              To apply please visit:

https://jobs.explorejobsearch.com/job-detail/275504/entry-level-data-scientist-remote

Synergistic IT is a full-service staffing and placement firm servicing client in America for the past 12+ years. We are dedicated towards fulfilling the IT needs of our clients. From staffing to full implementation of projects we provide the highest quality IT Services. We Intend to deliver exceptional student outcome. We don't just help you secure a tech job but build a solid career in technology. Job description Good understanding of the below models

Identify valuable data sources and automate collection processes Undertake preprocessing of structured and unstructured data Analyze large amounts of information to Client trends and patterns Classifier, Random Forest Classifier, Nave Bayes, Support Vector Machine Machine Learning Algorithms - Linear Regression, Logistic Regression, Decision Tree Unsupervised/Clustering algorithms NLP models, Deep Learning models for image classification

Desired Candidate ProfileSkills required Hands on experience Python scripting Hands on experience in building Machine Learning and Artificial Intelligence models Good knowledge on Exploratory Data Analysis (EDA) Hands on experience on platforms - Microsoft Azure/Amazon Web Services Libraries - Numpy, Pands, Scikit learn, Seaborn, Plotly, TensorFLow, Should be able to do data visualisation using Tableau or Excel. Excellent English communication (both oral and written) and reading comprehension skills. Strong analytical and problem-solving skills, with clear attention to detail.

Education Requirement: - Bachelors, Masters in Computer Science/ Computer Engineering/ Information Systems/Information Technology/ Electrical Engineering/ Mechanical Engineering. Benefits:

On Job Technical support E- verified Filing of H1b Full time position

Candidate who are missing the required skills, might be provided an option to enhance their skills, so that they can also apply for the role and can make a career in IT industry. If you do respond via e-mail, please include a daytime phone number so that we can reach you. In considering candidates, time is of the essence, so please respond ASAP. Thank you - provided by Dice

To apply please visit:

https://jobs.explorejobsearch.com/job-detail/275504/entry-level-data-scientist-remote
 ",usa,scientist
5,"('People Analytics Data Scientist - US REMOTE',)","('Jacobs',)","('Dallas, TX',)","('Remote',)","('1 month ago',)","('27 applicants',)","('3 connections · 110 school alumni',)","('',)","
              At Jacobs, we constantly seek to raise the bar in everything we do. By empowering our business leaders with real time data, you’ll have a chance to positively impact our 55,000 global employees and operations. Through your creative and engaging approach, you’ll enable a data driven mindset across the organization to respond to critical business questions.
The Talent Experience team is looking for a People Analytics Data Scientist reporting into the Employee Experience & Analytics team to help shape and implement advanced analytics initiatives and innovative solutions that support our talent strategy. As a critical team member, you’ll focus on delivering an exceptional quality product with a curiosity that seeks to answer the complex questions. You’ll work closely with a dynamic and passionate analytics team and engage with the full Talent Experience team including Employee Experience, Talent Acquisition, Learning & Talent Management and Talent Development as well as our Total Rewards and Inclusion & Diversity teams.
In this role you’ll:
- Design, develop and support compelling data stories from multiple sources that communicates intuitive analytics that guide decision-makers.
- Create value by delivering on our strategic focus areas for improving our culture: unleashing career mobility, futureproofing our skills, building agile teams, and creating a place of belonging for all.
- Architect solutions leveraging advanced analytics such as AI/ML models, natural language processing (NLP), etc. to discover key insights that impact our global business and improve the employee experience.
- Continual screening of ethics and maintaining deployment thresholds for AI/ML solutions.
- Shape the implementation of the employee voice strategy to support continues listening of our global talent force.
- Listen to the business’ strategic needs and turn questions into actionable insights.
- Support the digital transformation of the HR organization by raising the digital acumen, data fluency and analytic capability of HR.
- Protect sensitive and confidential data to maintain compliance as well as build security models for different audiences.
- Maintain a backlog of enhancements and establish a schedule of releases.
- Interface with internal clients (in-person and virtually) to discuss strategy, solutions for complex needs and presenting these technical deliverables.
- Champion a community of business analysts across various business units.
- Grow and develop. We don’t stand still! Industry trends and technology are ever adapting and it’s our mission to get ahead of what’s coming next in our technology platforms so we can evolve and provide more advanced solutions.
To meet compliance with work on US government projects US citizenship is required.
            
Desired Skills and Experience
            - A high proficiency in data transformation & visualization. Must possess the ability to manipulate large datasets to build insightful visualizations for complex problems and present engaging and intuitive analytics
- Established experience in implementing analytics to drive solutions
- A high level of proficiency in Phyton, R, or SQL
- Proficiency in mathematical logic and statistical analysis
- Working knowledge of artificial intelligence (AI), machine learning (ML) and natural language processing (NLP) concepts
- Strong business acumen and project management skills
- A pro-active approach to solving and solutioning challenges
- A naturally curious nature to uncover additional insights and desire to continually evolve
- A close attention to detail, accuracy and data quality across data sources and visualizations
- To be comfortable describing and documenting the approach, calculations, process, methodologies, and sources used in developing a model
- Effective, professional written and verbal communication style; capable of adapting that style to a wide variety of teams and stakeholders with various levels of seniority
Ideally, you’ll also have:
- Experience working with HR Data, including but not limited to: Employee Information, Compensation, Skills, Learning & Development, Talent Acquisition, Timekeeping, Workforce Planning, etc.
- Experience with Salesforce, Tableau CRM (Formerly Einstein Analytics), Einstein Discovery, Power BI, Alteryx, Tableau, Oracle Analytics Suite
- Industrial or organizational psychology knowledge
- Experience working with employee survey data or other qualitative data sources
- Ability to translate complex analytical models to a broad audience
- Understanding of handling & deployment of sensitive content, data security designations and protocols
- Facilitation and influencing skills
- Creative and engaging approach to developing UI/UX (user interface/user experience) and brand guidelines
- Understanding of database architecture concepts
        ",usa,scientist
6,"('Remote - Python Developers- Entry Level',)","('Dice',)","('United States',)","('Remote',)","('23 hours ago',)","('172 applicants',)","('See how you compare to 172 applicants. Retry Premium Free',)","('',)","
              Dice is the leading career destination for tech experts at every stage of their careers. Our client, Resource Informatics Group, is seeking the following. Apply via Dice today!

Title: Python Developers

We need 3-4 Python Developers which demands AWS experience

3-5 years of exp.It's 100% remote. Candidates from EST are preferred.
 provided by Dice


 ",usa,scientist
7,"('Language Engineer',)","('Acrolinx',)","('Berlin, OR',)","('Remote',)","('5 days ago',)","('10 applicants',)","('See how you compare to 10 applicants. Retry Premium Free',)","('',)","
              At Acrolinx, we envision a world connected by amazing content that’s ready to make an impact. We help the world’s Fortune 2000 brands to create amazing content at massive scale — across writers, workflows, languages, and cultures. Built on an advanced Al engine, Acrolinx is the only software platform that can actually “read” your content and guide writers to make it better.

Acrolinx envisions a world connected by amazing content, supercharging the billions of enterprise content touchpoints that power the global customer experience. We deliver a best-in-class, AI-powered content improvement Platform to many of the largest and most innovative international companies. Chances are, you’ve read some text today that Acrolinx software helped to shape. Our customers rely on our AI to ensure consistent and high-quality writing on a global scale.

We are looking for a Language Engineer based in Europe to improve and maintain the linguistic components of our platform. We are seeking an individual who enjoys analyzing language with an eye for detail and finding linguistic patterns to help people write more effectively. In this role, you’ll develop the English and German components of our software as well as respond to linguistic inquiries from our customers.

Responsibilities
Develop, test and maintain linguistic rules in Acrolinx’ proprietary linguistic formalismHelp design, develop and improve machine-learning models for linguistic componentsMaintain and extend the Acrolinx dictionariesMaintain and extend linguistically annotated corpora for specific components like POS taggerHelp design and develop new linguistic components of the Acrolinx platform
Skills And Experiences
A Master's degree (or higher) in Computational Linguistics with a deep understanding of English and German LinguisticsNative fluency in English with excellent written and verbal communication skillsNear-native or professional fluency in GermanBasic knowledge in Shell and one or more scripting languages (e.g. Python, Perl)Basic understanding of XML and HTML
We appreciate if you have
Proficiency in FrenchKnowledge in HPSG (head-driven phrase structure grammar)Knowledge in machine learningExperience with additional relevant technologies or languages such as SQL, Amazon Web Services, BERTExperience in customer-facing support
This position is either based in our headquarters in Berlin or in your home office. Your work hours can be flexible provided sufficient overlap with core working hours in our Berlin and Tokyo offices.

At Acrolinx, we embrace diversity as a catalyst for change – in our global offices and in our supply chain. We believe that it makes us a better, more innovative company.

We’re strengthening the talent at Acrolinx with a greater focus on diversity and inclusion. Acrolinx welcomes employees from diverse backgrounds such as language/linguistic ability, ethnicity, nationality, sex, sexual orientation, gender identity and expression, class, religion, disability, age, military status, visa status, economic status, and geographic location.

Acrolinx also acknowledges that diversity cannot exist without inclusion and accessibility, and we commit to growth in all areas.
 ",usa,scientist
8,"('Data Modeler',)","('Dice',)","('United States',)","('Remote',)","('6 hours ago',)",,"('Actively recruiting',)","('Save',)",,usa,scientist
9,"('Remote - Data Scientist',)","('TechFetch.com - On Demand Tech Workforce hiring platform',)","('Home, KS',)","('Remote',)","('2 days ago',)","('15 applicants',)","('See how you compare to 15 applicants. Retry Premium Free',)","('',)","
              ""ALL our jobs are US based and candidates must be in the US with valid US Work Authorization. Please apply on our website directly."" Job Title: Data Scientist

Location: 100% Remote if you are in CA, WA, OR, CO, MD, VA and GA States

Job Type : Long Term Contract (W2)

Top Daily Responsibilities:
Support Data-Science and other analytics as needed.Develop SQL queries and data setsDevelop business and client facing reports
Top Candidate Should Have
Knowledge and experience in statistical and data mining techniques: GLM/Regression, Random Forest, Boosting, Trees, text mining, social network analysis, etc.Experience querying databases and using statistical computer languages: R, Python, SLQ, etc.Experience using web services: Redshift, S3, Spark, DigitalOcean, etc.Experience creating and using advanced machine learning algorithms and statistics: regression, simulation, scenario analysis, modeling, clustering, decision trees, neural networks, etc.Experience analyzing data from 3rd party providers: Google Analytics, Site Catalyst, Coremetrics, Adwords, Crimson Hexagon, Client Insights, etc.Experience with distributed data/computing tools: Map/Reduce, Hadoop, Hive, Spark, Gurobi, MySQL, etc.Experience visualizing/presenting data for stakeholders using: Periscope, Business Objects, D3, ggplot, etc.
 ",usa,scientist
